"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"159","Eucalyptus dives","Eucalyptus dives","Eucalyptus dives","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"160","Eucalyptus dives x pauciflora","Eucalyptus dives x pauciflora","Eucalyptus dives","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"161","Eucalyptus dives x rossii","Eucalyptus dives x rossii","Eucalyptus dives","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"162","Eucalyptus dolichocarpa","Corymbia dolichocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Eucalyptus dorrigoensis","Eucalyptus dorrigoensis","Eucalyptus dorrigoensis","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"164","Eucalyptus dumosa","Eucalyptus dumosa","Eucalyptus dumosa","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"165","Eucalyptus dunnii","Eucalyptus dunnii","Eucalyptus dunnii","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"166","Eucalyptus dwyeri","Eucalyptus dwyeri","Eucalyptus dwyeri","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"167","Eucalyptus elata","Eucalyptus elata","Eucalyptus elata","branches smooth, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"168","Eucalyptus elegans","Eucalyptus elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Eucalyptus elliptica","Eucalyptus elliptica","Eucalyptus elliptica","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"170","Eucalyptus eugenioides","Eucalyptus eugenioides","Eucalyptus eugenioides","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"171","Eucalyptus eugenioides x globoidea","Eucalyptus eugenioides x globoidea","Eucalyptus eugenioides","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"172","Eucalyptus eximia","Corymbia eximia","Corymbia eximia","branches rough, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"173","Eucalyptus expressa","Eucalyptus expressa","Eucalyptus expressa","branches rough, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"174","Eucalyptus exserta","Eucalyptus exserta","Eucalyptus exserta","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"175","Eucalyptus fastigata","Eucalyptus fastigata","Eucalyptus fastigata","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"176","Eucalyptus fergusonii","Eucalyptus fergusonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Eucalyptus fergusonii subsp. dorsiventralis","Eucalyptus fergusonii subsp. dorsiventralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Eucalyptus fergusonii subsp. fergusonii","Eucalyptus fergusonii subsp. fergusonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Eucalyptus fibrosa","Eucalyptus fibrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Eucalyptus fibrosa subsp. fibrosa","Eucalyptus fibrosa","Eucalyptus fibrosa subsp. fibrosa","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"181","Eucalyptus fibrosa subsp. nubila","Eucalyptus nubila","Eucalyptus fibrosa subsp. nubila","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"182","Eucalyptus fibrosa x punctata","Eucalyptus fibrosa x punctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Eucalyptus foecunda","Eucalyptus leptophylla","Eucalyptus leptophylla","branches smooth, no ribbons in branches, partly rough, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"184","Eucalyptus fracta","Eucalyptus fracta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
