"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"38","Corymbia trachyphloia subsp. trachyphloia","Corymbia trachyphloia subsp. trachyphloia","Corymbia trachyphloia","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"39","Corymbia tumescens","Corymbia tumescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Corymbia variegata","Corymbia variegata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Eucalyptus acaciiformis","Eucalyptus acaciiformis","Eucalyptus acaciiformis","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"42","Eucalyptus acmenioides","Eucalyptus acmenoides","Eucalyptus acmenoides","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"43","Eucalyptus acmenoides","Eucalyptus acmenoides","Eucalyptus acmenoides","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"44","Eucalyptus aenea","Eucalyptus aenea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Eucalyptus agglomerata","Eucalyptus agglomerata","Eucalyptus agglomerata","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"46","Eucalyptus aggregata","Eucalyptus aggregata","Eucalyptus aggregata","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"47","Eucalyptus albens","Eucalyptus albens","Eucalyptus albens","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"48","Eucalyptus albens <--> moluccana","Eucalyptus albens <--> moluccana","Eucalyptus albens","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"49","Eucalyptus albens x crebra","Eucalyptus albens x crebra","Eucalyptus albens","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"50","Eucalyptus albens x moluccana","Eucalyptus albens <--> moluccana","Eucalyptus albens","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"51","Eucalyptus amplifolia","Eucalyptus amplifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"53","Eucalyptus amplifolia subsp. sessiliflora","Eucalyptus amplifolia subsp. sessiliflora","Eucalyptus amplifolia subsp. sessiliflora","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"54","Eucalyptus ancophila","Eucalyptus ancophila","Eucalyptus ancophila","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"55","Eucalyptus andrewsii","Eucalyptus andrewsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Eucalyptus andrewsii subsp. andrewsii","Eucalyptus andrewsii","Eucalyptus andrewsii subsp. andrewsii","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"57","Eucalyptus andrewsii subsp. campanulata","Eucalyptus campanulata","Eucalyptus andrewsii subsp. campanulata","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"58","Eucalyptus angophoroides","Eucalyptus angophoroides","Eucalyptus angophoroides","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"59","Eucalyptus apiculata","Eucalyptus apiculata","Eucalyptus apiculata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"60","Eucalyptus apothalassica","Eucalyptus apothalassica","Eucalyptus apothalassica","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"61","Eucalyptus apothalassica x chloroclada","Eucalyptus apothalassica x chloroclada","Eucalyptus apothalassica","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"62","Eucalyptus approximans","Eucalyptus approximans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Eucalyptus aquatica","Eucalyptus aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Eucalyptus aromaphloia","Eucalyptus corticosa","Eucalyptus corticosa","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"65","Eucalyptus badjensis","Eucalyptus badjensis","Eucalyptus badjensis","branches smooth, ribbons in branches, partly rough, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"66","Eucalyptus baeuerlenii","Eucalyptus baeuerlenii","Eucalyptus baeuerlenii","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"67","Eucalyptus baileyana","Eucalyptus baileyana","Eucalyptus baileyana","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"68","Eucalyptus bakeri","Eucalyptus bakeri","Eucalyptus bakeri","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark compacted, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"69","Eucalyptus bancroftii","Eucalyptus bancroftii","Eucalyptus bancroftii","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"70","Eucalyptus banksii","Eucalyptus banksii","Eucalyptus banksii","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"71","Eucalyptus bauerana","Eucalyptus baueriana","Eucalyptus baueriana","branches rough, no ribbons in branches, wholly rough, rough bark box type",NA,NA,NA,NA,NA,NA,NA,NA
"72","Eucalyptus baueriana","Eucalyptus baueriana","Eucalyptus baueriana","branches rough, no ribbons in branches, wholly rough, rough bark box type",NA,NA,NA,NA,NA,NA,NA,NA
"73","Eucalyptus baxteri","Eucalyptus baxteri","Eucalyptus baxteri","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"74","Eucalyptus behriana","Eucalyptus behriana","Eucalyptus behriana","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"75","Eucalyptus bensonii","Eucalyptus bensonii","Eucalyptus bensonii","branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"76","Eucalyptus benthamii","Eucalyptus benthamii","Eucalyptus benthamii","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"77","Eucalyptus beyeri","Eucalyptus beyeriana","Eucalyptus beyeri","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"78","Eucalyptus beyeriana","Eucalyptus beyeriana","Eucalyptus beyeri","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"79","Eucalyptus beyeriana <--> crebra","Eucalyptus beyeriana <--> crebra","Eucalyptus beyeri","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"80","Eucalyptus bicostata","Eucalyptus bicostata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Eucalyptus biturbinata","Eucalyptus biturbinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Eucalyptus blakelyi","Eucalyptus blakelyi","Eucalyptus blakelyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"83","Eucalyptus blakelyi <--> dealbata","Eucalyptus blakelyi <--> dealbata","Eucalyptus blakelyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"84","Eucalyptus blakelyi <--> tereticornis","Eucalyptus blakelyi <--> tereticornis","Eucalyptus blakelyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"85","Eucalyptus blakelyi x chloroclada","Eucalyptus blakelyi x chloroclada","Eucalyptus blakelyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"86","Eucalyptus blakelyi x dwyeri","Eucalyptus blakelyi x dwyeri","Eucalyptus blakelyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"87","Eucalyptus blakelyi x melliodora","Eucalyptus blakelyi x melliodora","Eucalyptus blakelyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"88","Eucalyptus blaxlandii","Eucalyptus blaxlandii","Eucalyptus blaxlandii","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"89","Eucalyptus boliviana","Eucalyptus boliviana","Eucalyptus boliviana","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"90","Eucalyptus bosistoana","Eucalyptus bosistoana","Eucalyptus bosistoana","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"91","Eucalyptus botryoides","Eucalyptus botryoides","Eucalyptus botryoides","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"92","Eucalyptus botryoides <--> saligna","Eucalyptus botryoides <--> saligna","Eucalyptus botryoides","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"93","Eucalyptus bridgesiana","Eucalyptus bridgesiana","Eucalyptus bridgesiana","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"94","Eucalyptus brunnea","Eucalyptus brunnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Eucalyptus burgessiana","Eucalyptus burgessiana","Eucalyptus burgessiana","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"96","Eucalyptus caleyi","Eucalyptus caleyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"98","Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"99","Eucalyptus caliginosa","Eucalyptus caliginosa","Eucalyptus caliginosa","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"100","Eucalyptus caliginosa <--> laevopinea","Eucalyptus caliginosa <--> laevopinea","Eucalyptus caliginosa","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"101","Eucalyptus calycogona","Eucalyptus calycogona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Eucalyptus camaldulensis","Eucalyptus camaldulensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Eucalyptus camaldulensis <--> chloroclada","Eucalyptus camaldulensis <--> chloroclada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"105","Eucalyptus cameronii","Eucalyptus cameronii","Eucalyptus cameronii","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"106","Eucalyptus cameronii x mckiei","Eucalyptus cameronii x mckiei","Eucalyptus cameronii","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"107","Eucalyptus camfieldii","Eucalyptus camfieldii","Eucalyptus camfieldii","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"108","Eucalyptus campanulata","Eucalyptus campanulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Eucalyptus camphora","Eucalyptus camphora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"111","Eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"112","Eucalyptus camphora subsp. relicta","Eucalyptus camphora subsp. relicta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Eucalyptus canaliculata","Eucalyptus canaliculata","Eucalyptus canaliculata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"114","Eucalyptus canaliculata <--> punctata","Eucalyptus canaliculata <--> punctata","Eucalyptus canaliculata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"115","Eucalyptus cannonii","Eucalyptus cannonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Eucalyptus cannonii <--> macrorhyncha","Eucalyptus cannonii <--> macrorhyncha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Eucalyptus canobolensis","Eucalyptus canobolensis","Eucalyptus canobolensis","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"118","Eucalyptus capitellata","Eucalyptus capitellata","Eucalyptus capitellata","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"119","Eucalyptus carnea","Eucalyptus carnea","Eucalyptus carnea","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"120","Eucalyptus castrensis","Eucalyptus castrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Eucalyptus chapmaniana","Eucalyptus chapmaniana","Eucalyptus chapmaniana","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"122","Eucalyptus chloroclada","Eucalyptus chloroclada","Eucalyptus chloroclada","branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"123","Eucalyptus cinerea","Eucalyptus cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Eucalyptus cladocalyx","Eucalyptus cladocalyx","Eucalyptus cladocalyx","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"125","Eucalyptus codonocarpa","Eucalyptus codonocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Eucalyptus conica","Eucalyptus conica","Eucalyptus conica","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"127","Eucalyptus conjuncta","Eucalyptus conjuncta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Eucalyptus consideniana","Eucalyptus consideniana","Eucalyptus consideniana","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"129","Eucalyptus conspicua","Eucalyptus conspicua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Eucalyptus coolabah","Eucalyptus coolabah","Eucalyptus coolabah","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"131","Eucalyptus coolabah subsp. arida","Eucalyptus coolabah subsp. arida","Eucalyptus coolabah","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"132","Eucalyptus coolabah subsp. coolabah","Eucalyptus coolabah subsp. coolabah","Eucalyptus coolabah","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"133","Eucalyptus corticosa","Eucalyptus corticosa","Eucalyptus corticosa","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"134","Eucalyptus costata","Eucalyptus costata subsp. murrayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Eucalyptus costata subsp. murrayana","Eucalyptus costata subsp. murrayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Eucalyptus crebra","Eucalyptus crebra","Eucalyptus crebra","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"137","Eucalyptus crebra x fibrosa","Eucalyptus crebra x fibrosa","Eucalyptus crebra","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"138","Eucalyptus crebra x microcarpa","Eucalyptus crebra x microcarpa","Eucalyptus crebra","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"139","Eucalyptus crebra x nubila","Eucalyptus crebra x nubila","Eucalyptus crebra","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"140","Eucalyptus crebra x siderophloia","Eucalyptus crebra x siderophloia","Eucalyptus crebra","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"141","Eucalyptus crenulata","Eucalyptus crenulata","Eucalyptus crenulata","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"142","Eucalyptus croajingolensis","Eucalyptus croajingolensis","Eucalyptus croajingolensis","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"143","Eucalyptus cunninghamii","Eucalyptus cunninghamii","Eucalyptus cunninghamii","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"144","Eucalyptus cyanophylla","Eucalyptus cyanophylla","Eucalyptus cyanophylla","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"145","Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"146","Eucalyptus dalrympleana","Eucalyptus dalrympleana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"148","Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"149","Eucalyptus dalrympleana x viminalis","Eucalyptus dalrympleana x viminalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Eucalyptus dawsonii","Eucalyptus dawsonii","Eucalyptus dawsonii","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"151","Eucalyptus dealbata","Eucalyptus dealbata","Eucalyptus dealbata","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"152","Eucalyptus dealbata x dwyeri","Eucalyptus dealbata x dwyeri","Eucalyptus dealbata","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"153","Eucalyptus deanei","Eucalyptus deanei","Eucalyptus deanei","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"154","Eucalyptus debeuzevillei","Eucalyptus debeuzevillei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Eucalyptus delegatensis","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"156","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"157","Eucalyptus dendromorpha","Eucalyptus dendromorpha","Eucalyptus dendromorpha","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark compacted, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"158","Eucalyptus dissita","Eucalyptus dissita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
