"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus bridgesiana","Eucalyptus bridgesiana","Eucalyptus bridgesiana","Eucalyptus bridgesiana",NA
"Eucalyptus deanei","Eucalyptus brunnea","Eucalyptus brunnea","NA",NA
"Eucalyptus burgessiana","Eucalyptus burgessiana","Eucalyptus burgessiana","Eucalyptus burgessiana",NA
"Eucalyptus caleyi","Eucalyptus caleyi","Eucalyptus caleyi","NA",NA
"Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi","Eucalyptus caleyi subsp. caleyi",NA
"Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii","Eucalyptus caleyi subsp. ovendenii",NA
"Eucalyptus caliginosa","Eucalyptus caliginosa","Eucalyptus caliginosa","Eucalyptus caliginosa",NA
"","Eucalyptus caliginosa <--> laevopinea","Eucalyptus caliginosa <--> laevopinea","No match",NA
"Eucalyptus calycogona","Eucalyptus calycogona","Eucalyptus calycogona","Eucalyptus calycogona subsp. trachybasis",NA
"Eucalyptus camaldulensis","Eucalyptus camaldulensis","Eucalyptus camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis",NA
"Eucalyptus camaldulensis","Eucalyptus camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis",NA
"","Eucalyptus camaldulensis <--> chloroclada","Eucalyptus camaldulensis <--> chloroclada","No match",NA
"Eucalyptus cameronii","Eucalyptus cameronii","Eucalyptus cameronii","Eucalyptus cameronii",NA
"","Eucalyptus cameronii x mckiei","Eucalyptus cameronii x mckiei","No match",NA
"Eucalyptus camfieldii","Eucalyptus camfieldii","Eucalyptus camfieldii","Eucalyptus camfieldii",NA
"Eucalyptus campanulata","Eucalyptus campanulata","Eucalyptus andrewsii subsp. campanulata","Eucalyptus andrewsii subsp. campanulata",NA
"Eucalyptus campanulata","Eucalyptus campanulata","Eucalyptus campanulata","Eucalyptus andrewsii subsp. campanulata",NA
"Eucalyptus camphora","Eucalyptus camphora","Eucalyptus camphora","NA",NA
"Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. camphora",NA
"Eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana",NA
"Eucalyptus camphora subsp. camphora","Eucalyptus camphora subsp. relicta","Eucalyptus camphora subsp. relicta","NA",NA
"Eucalyptus canaliculata","Eucalyptus canaliculata","Eucalyptus canaliculata","Eucalyptus canaliculata",NA
"","Eucalyptus canaliculata <--> punctata","Eucalyptus canaliculata <--> punctata","No match",NA
"Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus cannonii","Eucalyptus cannonii","Eucalyptus macrorhyncha subsp. cannonii",NA
"Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus cannonii","Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus macrorhyncha subsp. cannonii",NA
