species,branches smooth
Eucalyptus gardneri subsp. ravensthorpensis,yes
Eucalyptus georgei subsp. fulgida,yes
Eucalyptus georgei subsp. georgei,yes
Eucalyptus gigantangion,yes
Eucalyptus gillenii,yes
Eucalyptus gillii,yes
Eucalyptus gittinsii subsp. gittinsii,yes
Eucalyptus gittinsii subsp. illucida,yes
Eucalyptus glaucescens,yes
Eucalyptus glaucina,yes
Eucalyptus globulus subsp. bicostata,yes
Eucalyptus globulus subsp. globulus,yes
Eucalyptus globulus subsp. maidenii,yes
Eucalyptus globulus subsp. pseudoglobulus,yes
Eucalyptus glomericassis,yes
Eucalyptus glomerosa,yes
Eucalyptus gongylocarpa,yes
Eucalyptus goniantha subsp. goniantha,yes
Eucalyptus goniantha subsp. kynoura,yes
Eucalyptus goniocalyx subsp. exposa,yes
Eucalyptus goniocalyx subsp. goniocalyx,yes
Eucalyptus goniocalyx subsp. viridissima,yes
Eucalyptus goniocarpa,yes
Eucalyptus gracilis,yes
Eucalyptus grandis,yes
Eucalyptus gregoriensis,yes
Eucalyptus gregsoniana,yes
Eucalyptus griffithsii,yes
Eucalyptus grisea,yes
Eucalyptus gunnii,yes
Eucalyptus gypsophila,yes
Eucalyptus haemastoma,yes
Eucalyptus hallii,yes
Eucalyptus halophila,yes
Eucalyptus hebetifolia,yes
Eucalyptus herbertiana,yes
Eucalyptus histophylla,yes
Eucalyptus horistes,yes
Eucalyptus houseana,yes
Eucalyptus hypolaena,yes
Eucalyptus hypostomatica,yes
Eucalyptus imlayensis,yes
Eucalyptus impensa,yes
Eucalyptus incerata,yes
Eucalyptus incrassata,yes
Eucalyptus indurata,yes
Eucalyptus infera,yes
Eucalyptus insularis,yes
Eucalyptus interstans,yes
Eucalyptus intertexta,yes
Eucalyptus johnsoniana,yes
Eucalyptus johnstonii,yes
Eucalyptus jucunda,yes
Eucalyptus jutsonii subsp. jutsonii,yes
Eucalyptus kabiana,yes
Eucalyptus kartzoffiana,yes
Eucalyptus kenneallyi,yes
Eucalyptus kessellii subsp. eugnosta,yes
Eucalyptus kessellii subsp. kessellii,yes
Eucalyptus kingsmillii subsp. alatissima,yes
Eucalyptus kingsmillii subsp. kingsmillii,yes
Eucalyptus kitsoniana,yes
Eucalyptus kochii subsp. borealis,yes
Eucalyptus kochii subsp. kochii,yes
Eucalyptus kochii subsp. plenissima,yes
Eucalyptus kochii subsp. yellowdinensis,yes
Eucalyptus kondininensis,yes
Eucalyptus kondininensis subsp. tuberosa,yes
Eucalyptus kruseana,yes
Eucalyptus kumarlensis,yes
Eucalyptus kybeanensis,yes
Eucalyptus lacrimans,yes
Eucalyptus laeliae,yes
Eucalyptus laevis,yes
Eucalyptus laevopinea,yes
Eucalyptus lane-poolei,yes
Eucalyptus langleyi,yes
Eucalyptus lansdowneana,yes
Eucalyptus largeana,yes
Eucalyptus latens,yes
Eucalyptus lateritica,yes
Eucalyptus lehmanii subsp. parallela,yes
Eucalyptus lehmannii subsp. lehmannii,yes
Eucalyptus leprophloia,yes
Eucalyptus leptocalyx,yes
Eucalyptus leptophylla,yes
Eucalyptus leptopoda subsp. arctata,yes
Eucalyptus leptopoda subsp. elevata,yes
Eucalyptus leptopoda subsp. leptopoda,yes
Eucalyptus leptopoda subsp. subluta,yes
Eucalyptus lesouefii,yes
Eucalyptus leucophloia subsp. euroa,yes
Eucalyptus leucophloia subsp. leucophloia,yes
Eucalyptus leucoxylon subsp. leucoxylon,yes
Eucalyptus leucoxylon subsp. megalocarpa,yes
Eucalyptus leucoxylon subsp. pruinosa,yes
Eucalyptus leucoxylon subsp. stephaniae,yes
Eucalyptus ligulata subsp. ligulata,yes
Eucalyptus ligulata subsp. stirlingica,yes
Eucalyptus litoralis,yes
Eucalyptus litorea,yes
Eucalyptus livida,yes
Eucalyptus lockyeri subsp. exuta,yes
Eucalyptus lockyeri subsp. lockyeri,yes
Eucalyptus longicornis,yes
Eucalyptus longifolia,yes
Eucalyptus longirostrata,yes
Eucalyptus longissima,yes
Eucalyptus loxophleba subsp. gratiae,yes
Eucalyptus loxophleba subsp. lissophloia,yes
Eucalyptus loxophleba subsp. loxophleba,yes
Eucalyptus loxophleba subsp. supralaevis,yes
Eucalyptus lucasii,yes
Eucalyptus lucens,yes
Eucalyptus luculenta,yes
Eucalyptus luehmanniana,yes
Eucalyptus luteola,yes
Eucalyptus macarthurii,yes
Eucalyptus macrandra,yes
Eucalyptus macrocarpa subsp. elachantha,yes
Eucalyptus macrocarpa subsp. macrocarpa,yes
Eucalyptus magnificata,yes
Eucalyptus major,yes
Eucalyptus malacoxylon,yes
Eucalyptus mannensis subsp. mannensis,yes
Eucalyptus mannensis subsp. vespertina,yes
Eucalyptus mannifera subsp. gullickii,yes
Eucalyptus mannifera subsp. mannifera,yes
Eucalyptus mannifera subsp. praecox,yes
Eucalyptus marginata subsp. elegantella,yes
Eucalyptus marginata subsp. marginata,yes
Eucalyptus marginata subsp. thalassica,yes
Eucalyptus mcquoidii,yes
Eucalyptus medialis,yes
Eucalyptus megacarpa,yes
Eucalyptus megacornuta,yes
Eucalyptus melanoleuca,yes
Eucalyptus melanophitra,yes
Eucalyptus melanophloia subsp. nana,yes
Eucalyptus melanoxylon,yes
Eucalyptus melliodora,yes
Eucalyptus merrickiae,yes
Eucalyptus michaeliana,yes
Eucalyptus micranthera,yes
Eucalyptus microcarpa,yes
Eucalyptus microschema,yes
Eucalyptus microtheca,yes
Eucalyptus mimica subsp. continens,yes
Eucalyptus mimica subsp. mimica,yes
Eucalyptus miniata,yes
Eucalyptus misella,yes
Eucalyptus mitchelliana,yes
Eucalyptus moderata,yes
Eucalyptus moluccana,yes
Eucalyptus mooreana,yes
Eucalyptus moorei subsp. moorei,yes
Eucalyptus moorei subsp. serpentinicola,yes
Eucalyptus morrisbyi,yes
Eucalyptus morrisii,yes
Eucalyptus multicaulis,yes
Eucalyptus myriadena,yes
Eucalyptus nandewarica,yes
Eucalyptus nebulosa,yes
Eucalyptus neglecta,yes
Eucalyptus neutra,yes
Eucalyptus newbeyi,yes
Eucalyptus nigrifunda,yes
Eucalyptus nitens,yes
Eucalyptus nitida,yes
Eucalyptus nobilis,yes
Eucalyptus normantonensis,yes
Eucalyptus nortonii,yes
Eucalyptus notactites,yes
Eucalyptus nova-anglica,yes
Eucalyptus nudicaulis,yes
Eucalyptus nutans,yes
Eucalyptus obesa,yes
Eucalyptus obliqua,yes
Eucalyptus obtusiflora,yes
Eucalyptus occidentalis,yes
Eucalyptus ochrophloia,yes
Eucalyptus odontocarpa,yes
Eucalyptus odorata,yes
Eucalyptus oldfieldii,yes
Eucalyptus oleosa subsp. corvina,yes
Eucalyptus oleosa subsp. cylindroidea,yes
Eucalyptus oleosa subsp. oleosa,yes
Eucalyptus olida,yes
Eucalyptus olivina,yes
Eucalyptus olsenii,yes
Eucalyptus opimiflora,yes
Eucalyptus optima,yes
Eucalyptus oraria,yes
Eucalyptus ordiana,yes
Eucalyptus oreades,yes
Eucalyptus orgadophila,yes
Eucalyptus ornata,yes
Eucalyptus orthostemon,yes
Eucalyptus ovata var. grandiflora,yes
Eucalyptus ovata var. ovata,yes
Eucalyptus ovularis,yes
Eucalyptus oxymitra,yes
Eucalyptus pachycalyx subsp. pachycalyx,yes
Eucalyptus pachycalyx subsp. waajensis,yes
Eucalyptus pachyloma,yes
Eucalyptus pachyphylla,yes
Eucalyptus paliformis,yes
Eucalyptus paludicola,yes
Eucalyptus pantoleuca,yes
Eucalyptus parramattensis subsp. decadens,yes
Eucalyptus parramattensis subsp. parramattensis,yes
Eucalyptus parramattensis var. sphaerocalyx,yes
Eucalyptus parvula,yes
Eucalyptus pauciflora subsp. acerina,yes
Eucalyptus pauciflora subsp. debeuzevillei,yes
Eucalyptus pauciflora subsp. hedraia,yes
Eucalyptus pauciflora subsp. niphophila,yes
Eucalyptus pauciflora subsp. pauciflora,yes
Eucalyptus pendens,yes
Eucalyptus peninsularis,yes
Eucalyptus perangusta,yes
Eucalyptus percostata,yes
Eucalyptus perriniana,yes
Eucalyptus petiolaris,yes
Eucalyptus petraea,yes
Eucalyptus petrensis,yes
Eucalyptus phaenophylla subsp. interjacens,yes
Eucalyptus phaenophylla subsp. phaenophylla,yes
Eucalyptus phenax subsp. compressa,yes
Eucalyptus phenax subsp. phenax,yes
Eucalyptus phoenicea,yes
