species,bark
Eucalyptus miniata,partly rough
Eucalyptus misella,partly rough
Eucalyptus moderata,partly rough
Eucalyptus moluccana,partly rough
Eucalyptus morrisbyi,partly rough
Eucalyptus morrisii,partly rough
Eucalyptus multicaulis,partly rough
Eucalyptus myriadena,partly rough
Eucalyptus nandewarica,partly rough
Eucalyptus neglecta,partly rough
Eucalyptus nigrifunda,partly rough
Eucalyptus nitens,partly rough
Eucalyptus nitida,partly rough
Eucalyptus nobilis,partly rough
Eucalyptus normantonensis,partly rough
Eucalyptus obliqua,partly rough
Eucalyptus obtusiflora,partly rough
Eucalyptus occidentalis,partly rough
Eucalyptus ochrophloia,partly rough
Eucalyptus odontocarpa,partly rough
Eucalyptus odorata,partly rough
Eucalyptus oldfieldii,partly rough
Eucalyptus oleosa subsp. corvina,partly rough
Eucalyptus oleosa subsp. cylindroidea,partly rough
Eucalyptus oleosa subsp. oleosa,partly rough
Eucalyptus olsenii,partly rough
Eucalyptus oraria,partly rough
Eucalyptus orbifolia,partly rough
Eucalyptus oreades,partly rough
Eucalyptus orgadophila,partly rough
Eucalyptus ovata var. grandiflora,partly rough
Eucalyptus ovata var. ovata,partly rough
Eucalyptus ovularis,partly rough
Eucalyptus oxymitra,partly rough
Eucalyptus pachyphylla,partly rough
Eucalyptus paludicola,partly rough
Eucalyptus parvula,partly rough
Eucalyptus peninsularis,partly rough
Eucalyptus perriniana,partly rough
Eucalyptus petiolaris,partly rough
Eucalyptus petraea,partly rough
Eucalyptus petrensis,partly rough
Eucalyptus phenax subsp. compressa,partly rough
Eucalyptus pilularis,partly rough
Eucalyptus piperita subsp. piperita,partly rough
Eucalyptus platycorys,partly rough
Eucalyptus pluricaulis subsp. porphyrea,partly rough
Eucalyptus polyanthemos subsp. polyanthemos,partly rough
Eucalyptus polybractea,partly rough
Eucalyptus porosa,partly rough
Eucalyptus praetermissa,partly rough
Eucalyptus prolixa,partly rough
Eucalyptus prominens,partly rough
Eucalyptus pruiniramis,partly rough
Eucalyptus pulchella,partly rough
Eucalyptus pyriformis,partly rough
Eucalyptus quadrans,partly rough
Eucalyptus quaerenda,partly rough
Eucalyptus raveretiana,partly rough
Eucalyptus regnans,partly rough
