species,bark
Eucalyptus cunninghamii,partly or all smooth
Eucalyptus cuprea,partly or all smooth
Eucalyptus cupularis,partly or all smooth
Eucalyptus curtisii,partly or all smooth
Eucalyptus cyanophylla,partly or all smooth
Eucalyptus cyclostoma,partly or all smooth
Eucalyptus cylindriflora,partly or all smooth
Eucalyptus cylindrocarpa,partly or all smooth
Eucalyptus cypellocarpa,partly or all smooth
Eucalyptus dalrympleana subsp. dalrympleana,partly or all smooth
Eucalyptus dalrympleana subsp. heptantha,partly or all smooth
Eucalyptus dawsonii,partly or all smooth
Eucalyptus dealbata,partly or all smooth
Eucalyptus deanei,partly or all smooth
Eucalyptus decurva,partly or all smooth
Eucalyptus deflexa,partly or all smooth
Eucalyptus delegatensis subsp. delegatensis,partly or all smooth
Eucalyptus delegatensis subsp. tasmaniensis,partly or all smooth
Eucalyptus delicata,partly or all smooth
Eucalyptus dendromorpha,partly or all smooth
Eucalyptus densa subsp. densa,partly or all smooth
Eucalyptus densa subsp. improcera,partly or all smooth
Eucalyptus denticulata,partly or all smooth
Eucalyptus depauperata,partly or all smooth
Eucalyptus desmondensis,partly or all smooth
Eucalyptus deuaensis,partly or all smooth
Eucalyptus dielsii,partly or all smooth
Eucalyptus diminuta,partly or all smooth
Eucalyptus diptera,partly or all smooth
Eucalyptus discreta,partly or all smooth
Eucalyptus dissimulata,partly or all smooth
Eucalyptus distuberosa subsp. aerata,partly or all smooth
Eucalyptus distuberosa subsp. distuberosa,partly or all smooth
Eucalyptus diversicolor,partly or all smooth
Eucalyptus diversifolia subsp. diversifolia,partly or all smooth
Eucalyptus diversifolia subsp. hesperia,partly or all smooth
Eucalyptus dolichocera,partly or all smooth
Eucalyptus dolichorhyncha,partly or all smooth
Eucalyptus doratoxylon,partly or all smooth
Eucalyptus dorrienii,partly or all smooth
Eucalyptus dorrigoensis,partly or all smooth
Eucalyptus drummondii,partly or all smooth
Eucalyptus dumosa,partly or all smooth
Eucalyptus dundasii,partly or all smooth
Eucalyptus dunnii,partly or all smooth
Eucalyptus dwyeri,partly or all smooth
Eucalyptus ebbanoensis subsp. ebbanoensis,partly or all smooth
Eucalyptus ebbanoensis subsp. photina,partly or all smooth
Eucalyptus ecostata,partly or all smooth
Eucalyptus educta,partly or all smooth
Eucalyptus effusa,partly or all smooth
Eucalyptus elaeophloia,partly or all smooth
Eucalyptus elata,partly or all smooth
Eucalyptus elliptica,partly or all smooth
Eucalyptus erectifolia,partly or all smooth
Eucalyptus eremicola subsp. eremicola,partly or all smooth
Eucalyptus eremicola subsp. peeneri,partly or all smooth
Eucalyptus eremophila,partly or all smooth
Eucalyptus erythrandra,partly or all smooth
Eucalyptus erythrocorys,partly or all smooth
Eucalyptus erythronema subsp. erythronema,partly or all smooth
Eucalyptus erythronema subsp. inornata,partly or all smooth
Eucalyptus eudesmioides subsp. eudesmioides,partly or all smooth
Eucalyptus eudesmioides subsp. Pallida,partly or all smooth
Eucalyptus ewartiana,partly or all smooth
Eucalyptus exigua,partly or all smooth
Eucalyptus exilis,partly or all smooth
Eucalyptus extensa,partly or all smooth
Eucalyptus extrica,partly or all smooth
Eucalyptus falcata,partly or all smooth
Eucalyptus famelica,partly or all smooth
Eucalyptus fasciculosa,partly or all smooth
Eucalyptus fastigata,partly or all smooth
Eucalyptus flavida,partly or all smooth
Eucalyptus flindersii,partly or all smooth
Eucalyptus flocktoniae subsp. flocktoniae,partly or all smooth
Eucalyptus flocktoniae subsp. hebes,partly or all smooth
Eucalyptus foecunda,partly or all smooth
Eucalyptus foliosa,partly or all smooth
Eucalyptus formanii,partly or all smooth
Eucalyptus forrestiana,partly or all smooth
Eucalyptus fraseri subsp. fraseri,partly or all smooth
