"","species","branches.minnirichi","branches.rough","branches.smooth","no.ribbons.in.branches","ribbons.in.branches","fibrous","main.minnirichi","partly.rough","wholly.rough","wholly.smooth","rough.bark.loose.basal.slabs","rough.bark.box.type","rough.bark.compacted","rough.bark.imperfectly.shed","rough.bark.ironbark","rough.bark.tessellated","partly.or.all.smooth"
"700","Eucalyptus mimica subsp. mimica",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"701","Eucalyptus miniata",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"702","Eucalyptus misella",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes"
"703","Eucalyptus mitchelliana",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"704","Eucalyptus moluccana",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"705","Eucalyptus mooreana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"706","Eucalyptus moorei subsp. moorei",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"707","Eucalyptus moorei subsp. serpentinicola",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"708","Eucalyptus morrisbyi",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"709","Eucalyptus morrisii",NA,NA,"yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"710","Eucalyptus multicaulis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"711","Eucalyptus myriadena",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,"yes"
"712","Eucalyptus nandewarica",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"713","Eucalyptus nebulosa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"714","Eucalyptus neutra",NA,NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"715","Eucalyptus newbeyi",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"716","Eucalyptus nigrifunda",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yes"
"717","Eucalyptus nitens",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"718","Eucalyptus nitida",NA,NA,"yes",NA,"yes","yes",NA,"yes","yes","yes",NA,NA,NA,NA,NA,NA,"yes"
"719","Eucalyptus nobilis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"720","Eucalyptus notactites",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"721","Eucalyptus nudicaulis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"722","Eucalyptus nutans",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"723","Eucalyptus obesa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"724","Eucalyptus obtusiflora",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"725","Eucalyptus ochrophloia",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,"yes","yes"
"726","Eucalyptus odontocarpa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"727","Eucalyptus oleosa subsp. corvina",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes"
"728","Eucalyptus oleosa subsp. cylindroidea",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"729","Eucalyptus oleosa subsp. oleosa",NA,NA,"yes","yes","yes","yes",NA,"yes","yes","yes","yes","yes",NA,"yes",NA,NA,"yes"
"730","Eucalyptus olivina",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"731","Eucalyptus olsenii",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"732","Eucalyptus opimiflora",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"733","Eucalyptus optima",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"734","Eucalyptus oraria",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"735","Eucalyptus ordiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"736","Eucalyptus oreades",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,"yes"
"737","Eucalyptus orgadophila",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"738","Eucalyptus ornata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"739","Eucalyptus orthostemon",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"740","Eucalyptus ovata var. grandiflora",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"741","Eucalyptus ovata var. ovata",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"742","Eucalyptus oxymitra",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes"
"743","Eucalyptus pachycalyx subsp. pachycalyx",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"744","Eucalyptus pachycalyx subsp. waajensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"745","Eucalyptus pachyloma",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"746","Eucalyptus pachyphylla",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"747","Eucalyptus paliformis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"748","Eucalyptus paludicola",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"749","Eucalyptus pantoleuca",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"750","Eucalyptus parramattensis subsp. decadens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"751","Eucalyptus parramattensis subsp. parramattensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"752","Eucalyptus parramattensis var. sphaerocalyx",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"753","Eucalyptus parvula",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"754","Eucalyptus pauciflora subsp. acerina",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"755","Eucalyptus pauciflora subsp. debeuzevillei",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"756","Eucalyptus pauciflora subsp. hedraia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"757","Eucalyptus pauciflora subsp. niphophila",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"758","Eucalyptus pauciflora subsp. pauciflora",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"759","Eucalyptus pendens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"760","Eucalyptus peninsularis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"761","Eucalyptus perangusta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"762","Eucalyptus percostata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
