species,bark
Eucalyptus herbertiana,wholly smooth
Eucalyptus histophylla,wholly smooth
Eucalyptus horistes,wholly smooth
Eucalyptus houseana,wholly smooth
Eucalyptus imlayensis,wholly smooth
Eucalyptus impensa,wholly smooth
Eucalyptus incerata,wholly smooth
Eucalyptus incrassata,wholly smooth
Eucalyptus infera,wholly smooth
Eucalyptus insularis,wholly smooth
Eucalyptus interstans,wholly smooth
Eucalyptus johnsoniana,wholly smooth
Eucalyptus johnstonii,wholly smooth
Eucalyptus jucunda,wholly smooth
Eucalyptus kabiana,wholly smooth
Eucalyptus kenneallyi,wholly smooth
Eucalyptus kessellii subsp. eugnosta,wholly smooth
Eucalyptus kessellii subsp. kessellii,wholly smooth
Eucalyptus kingsmillii subsp. kingsmillii,wholly smooth
Eucalyptus kitsoniana,wholly smooth
Eucalyptus kruseana,wholly smooth
Eucalyptus kumarlensis,wholly smooth
Eucalyptus kybeanensis,wholly smooth
Eucalyptus lacrimans,wholly smooth
Eucalyptus laeliae,wholly smooth
Eucalyptus lane-poolei,wholly smooth
Eucalyptus langleyi,wholly smooth
Eucalyptus lansdowneana,wholly smooth
Eucalyptus latens,wholly smooth
Eucalyptus lateritica,wholly smooth
Eucalyptus lehmanii subsp. parallela,wholly smooth
Eucalyptus lehmannii subsp. lehmannii,wholly smooth
Eucalyptus leptocalyx,wholly smooth
Eucalyptus leptophylla,wholly smooth
Eucalyptus leptopoda subsp. arctata,wholly smooth
Eucalyptus leptopoda subsp. elevata,wholly smooth
Eucalyptus leptopoda subsp. leptopoda,wholly smooth
Eucalyptus leptopoda subsp. subluta,wholly smooth
Eucalyptus leucophloia subsp. euroa,wholly smooth
Eucalyptus leucophloia subsp. leucophloia,wholly smooth
Eucalyptus leucoxylon subsp. leucoxylon,wholly smooth
Eucalyptus leucoxylon subsp. megalocarpa,wholly smooth
Eucalyptus leucoxylon subsp. pruinosa,wholly smooth
Eucalyptus leucoxylon subsp. stephaniae,wholly smooth
Eucalyptus ligulata subsp. ligulata,wholly smooth
Eucalyptus ligulata subsp. stirlingica,wholly smooth
Eucalyptus livida,wholly smooth
Eucalyptus longirostrata,wholly smooth
Eucalyptus longissima,wholly smooth
Eucalyptus loxophleba subsp. gratiae,wholly smooth
Eucalyptus loxophleba subsp. lissophloia,wholly smooth
Eucalyptus lucasii,wholly smooth
Eucalyptus lucens,wholly smooth
Eucalyptus luculenta,wholly smooth
Eucalyptus luehmanniana,wholly smooth
Eucalyptus luteola,wholly smooth
Eucalyptus macrandra,wholly smooth
Eucalyptus macrocarpa subsp. elachantha,wholly smooth
Eucalyptus macrocarpa subsp. macrocarpa,wholly smooth
Eucalyptus major,wholly smooth
Eucalyptus mannensis subsp. mannensis,wholly smooth
Eucalyptus mannifera subsp. gullickii,wholly smooth
Eucalyptus mannifera subsp. mannifera,wholly smooth
Eucalyptus mannifera subsp. praecox,wholly smooth
Eucalyptus mcquoidii,wholly smooth
Eucalyptus medialis,wholly smooth
Eucalyptus megacarpa,wholly smooth
Eucalyptus megacornuta,wholly smooth
Eucalyptus michaeliana,wholly smooth
Eucalyptus micranthera,wholly smooth
Eucalyptus microschema,wholly smooth
Eucalyptus mimica subsp. continens,wholly smooth
Eucalyptus mimica subsp. mimica,wholly smooth
Eucalyptus misella,wholly smooth
Eucalyptus mitchelliana,wholly smooth
Eucalyptus mooreana,wholly smooth
Eucalyptus moorei subsp. moorei,wholly smooth
Eucalyptus moorei subsp. serpentinicola,wholly smooth
Eucalyptus morrisbyi,wholly smooth
Eucalyptus multicaulis,wholly smooth
Eucalyptus myriadena,wholly smooth
Eucalyptus nandewarica,wholly smooth
Eucalyptus nebulosa,wholly smooth
Eucalyptus neutra,wholly smooth
Eucalyptus newbeyi,wholly smooth
Eucalyptus nitens,wholly smooth
Eucalyptus nitida,wholly smooth
Eucalyptus nobilis,wholly smooth
Eucalyptus notactites,wholly smooth
Eucalyptus nudicaulis,wholly smooth
Eucalyptus nutans,wholly smooth
Eucalyptus obesa,wholly smooth
Eucalyptus obtusiflora,wholly smooth
Eucalyptus odontocarpa,wholly smooth
Eucalyptus odorata,wholly smooth
Eucalyptus oldfieldii,wholly smooth
Eucalyptus oleosa subsp. oleosa,wholly smooth
Eucalyptus olivina,wholly smooth
Eucalyptus opimiflora,wholly smooth
Eucalyptus optima,wholly smooth
Eucalyptus oraria,wholly smooth
Eucalyptus ordiana,wholly smooth
Eucalyptus ornata,wholly smooth
Eucalyptus orthostemon,wholly smooth
Eucalyptus ovata var. grandiflora,wholly smooth
Eucalyptus ovata var. ovata,wholly smooth
Eucalyptus oxymitra,wholly smooth
Eucalyptus pachycalyx subsp. pachycalyx,wholly smooth
Eucalyptus pachycalyx subsp. waajensis,wholly smooth
Eucalyptus pachyloma,wholly smooth
Eucalyptus pachyphylla,wholly smooth
Eucalyptus paliformis,wholly smooth
Eucalyptus paludicola,wholly smooth
Eucalyptus pantoleuca,wholly smooth
Eucalyptus parramattensis subsp. decadens,wholly smooth
Eucalyptus parramattensis subsp. parramattensis,wholly smooth
Eucalyptus parramattensis var. sphaerocalyx,wholly smooth
Eucalyptus parvula,wholly smooth
Eucalyptus pauciflora subsp. acerina,wholly smooth
Eucalyptus pauciflora subsp. debeuzevillei,wholly smooth
Eucalyptus pauciflora subsp. hedraia,wholly smooth
Eucalyptus pauciflora subsp. niphophila,wholly smooth
Eucalyptus pauciflora subsp. pauciflora,wholly smooth
Eucalyptus pendens,wholly smooth
Eucalyptus peninsularis,wholly smooth
Eucalyptus perangusta,wholly smooth
Eucalyptus percostata,wholly smooth
Eucalyptus perriniana,wholly smooth
Eucalyptus petiolaris,wholly smooth
Eucalyptus petraea,wholly smooth
Eucalyptus petrensis,wholly smooth
Eucalyptus phaenophylla subsp. interjacens,wholly smooth
Eucalyptus phaenophylla subsp. phaenophylla,wholly smooth
Eucalyptus phenax subsp. compressa,wholly smooth
Eucalyptus phenax subsp. phenax,wholly smooth
Eucalyptus pilbarensis,wholly smooth
Eucalyptus pileata,wholly smooth
Eucalyptus pimpiniana,wholly smooth
Eucalyptus platydisca,wholly smooth
Eucalyptus platyphylla,wholly smooth
Eucalyptus platypus subsp. congregata,wholly smooth
Eucalyptus platypus subsp. platypus,wholly smooth
Eucalyptus pleurocarpa,wholly smooth
Eucalyptus pluricaulis subsp. pluricaulis,wholly smooth
Eucalyptus pluricaulis subsp. porphyrea,wholly smooth
Eucalyptus polita,wholly smooth
Eucalyptus polyanthemos subsp. polyanthemos,wholly smooth
Eucalyptus polybractea,wholly smooth
Eucalyptus praetermissa,wholly smooth
Eucalyptus prava,wholly smooth
Eucalyptus preissiana subsp. lobata,wholly smooth
Eucalyptus preissiana subsp. preissiana,wholly smooth
Eucalyptus prolixa,wholly smooth
Eucalyptus prominens,wholly smooth
Eucalyptus propinqua,wholly smooth
Eucalyptus protensa,wholly smooth
Eucalyptus proxima,wholly smooth
Eucalyptus pruiniramis,wholly smooth
Eucalyptus pterocarpa,wholly smooth
Eucalyptus pulchella,wholly smooth
Eucalyptus pulverulenta,wholly smooth
Eucalyptus pumila,wholly smooth
Eucalyptus punctata,wholly smooth
Eucalyptus purpurata,wholly smooth
Eucalyptus pyriformis,wholly smooth
Eucalyptus quadrans,wholly smooth
Eucalyptus quaerenda,wholly smooth
Eucalyptus racemosa subsp. racemosa,wholly smooth
Eucalyptus racemosa subsp. rossii,wholly smooth
Eucalyptus rameliana,wholly smooth
Eucalyptus ravida,wholly smooth
Eucalyptus recta,wholly smooth
Eucalyptus recurva,wholly smooth
Eucalyptus redunca,wholly smooth
Eucalyptus remota,wholly smooth
Eucalyptus repullulans,wholly smooth
Eucalyptus retusa,wholly smooth
Eucalyptus rhodantha,wholly smooth
Eucalyptus rhomboidea,wholly smooth
Eucalyptus rigens,wholly smooth
Eucalyptus rigidula,wholly smooth
Eucalyptus risdonii,wholly smooth
Eucalyptus rosacea,wholly smooth
Eucalyptus rowleyi,wholly smooth
Eucalyptus rubida subsp. rubida,wholly smooth
Eucalyptus rudis subsp. cratyantha,wholly smooth
Eucalyptus rudis subsp. rudis,wholly smooth
Eucalyptus rugosa,wholly smooth
Eucalyptus rugulata,wholly smooth
Eucalyptus rupestris,wholly smooth
Eucalyptus salicola,wholly smooth
Eucalyptus saligna,wholly smooth
Eucalyptus salmonophloia,wholly smooth
Eucalyptus salubris,wholly smooth
Eucalyptus sargentii subsp. onesia,wholly smooth
Eucalyptus sargentii subsp. sargentii,wholly smooth
Eucalyptus saxatilis,wholly smooth
Eucalyptus scoparia,wholly smooth
Eucalyptus seeana,wholly smooth
Eucalyptus selachiana,wholly smooth
Eucalyptus semiglobosa,wholly smooth
Eucalyptus sepulcralis,wholly smooth
Eucalyptus sessilis,wholly smooth
Eucalyptus sheathiana,wholly smooth
Eucalyptus singularis,wholly smooth
Eucalyptus sinuosa,wholly smooth
Eucalyptus smithii,wholly smooth
Eucalyptus socialis subsp. socialis,wholly smooth
Eucalyptus socialis subsp. victoriensis,wholly smooth
Eucalyptus sp. Kalbarri,wholly smooth
Eucalyptus sp. Southern Wheatbelt,wholly smooth
Eucalyptus sp. Undulans,wholly smooth
Eucalyptus sparsa,wholly smooth
Eucalyptus spathulata subsp. salina,wholly smooth
Eucalyptus spathulata subsp. spathulata,wholly smooth
Eucalyptus sporadica,wholly smooth
Eucalyptus spreta,wholly smooth
Eucalyptus steedmanii,wholly smooth
Eucalyptus stoatei,wholly smooth
Eucalyptus stowardii,wholly smooth
Eucalyptus stricta,wholly smooth
Eucalyptus strzeleckii,wholly smooth
Eucalyptus sturgissiana,wholly smooth
Eucalyptus subangusta subsp. cerina,wholly smooth
Eucalyptus subangusta subsp. pusilla,wholly smooth
Eucalyptus subangusta subsp. subangusta,wholly smooth
Eucalyptus subangusta subsp. virescens,wholly smooth
Eucalyptus subcrenulata,wholly smooth
Eucalyptus subtilis,wholly smooth
Eucalyptus suggrandis subsp. promiscua,wholly smooth
Eucalyptus suggrandis subsp. suggrandis,wholly smooth
Eucalyptus surgens,wholly smooth
Eucalyptus sweedmaniana,wholly smooth
Eucalyptus synandra,wholly smooth
Eucalyptus talyuberlup,wholly smooth
Eucalyptus tenera,wholly smooth
Eucalyptus tenuiramis,wholly smooth
Eucalyptus tenuis,wholly smooth
Eucalyptus tephroclada,wholly smooth
Eucalyptus terebra,wholly smooth
Eucalyptus tereticornis subsp. basaltica,wholly smooth
Eucalyptus tereticornis subsp. mediana,wholly smooth
Eucalyptus tereticornis subsp. rotunda,wholly smooth
Eucalyptus tereticornis subsp. tereticornis,wholly smooth
Eucalyptus tetraptera,wholly smooth
Eucalyptus thamnoides subsp. megista,wholly smooth
Eucalyptus thamnoides subsp. thamnoides,wholly smooth
Eucalyptus thozetiana,wholly smooth
