species,fibrous
Eucalyptus rudderi,yes
Eucalyptus rudis subsp. cratyantha,yes
Eucalyptus rudis subsp. rudis,yes
Eucalyptus scias subsp. apoda,yes
Eucalyptus scias subsp. scias,yes
Eucalyptus selachiana,yes
Eucalyptus serraensis,yes
Eucalyptus sieberi,yes
Eucalyptus similis,yes
Eucalyptus socialis subsp. socialis,yes
Eucalyptus socialis subsp. victoriensis,yes
Eucalyptus sparsa,yes
Eucalyptus sparsifolia,yes
Eucalyptus sphaerocarpa,yes
Eucalyptus splendens subsp. arcana,yes
Eucalyptus splendens subsp. splendens,yes
Eucalyptus squamosa,yes
Eucalyptus staeri,yes
Eucalyptus stenostoma,yes
Eucalyptus striaticalyx,yes
Eucalyptus surgens,yes
Eucalyptus tectifica,yes
Eucalyptus tenella,yes
Eucalyptus tenuipes,yes
Eucalyptus terrica,yes
Eucalyptus tetrodonta,yes
Eucalyptus thamnoides subsp. megista,yes
Eucalyptus tindaliae,yes
Eucalyptus todtiana,yes
Eucalyptus triflora,yes
Eucalyptus trivalvis,yes
Eucalyptus ultima,yes
Eucalyptus umbra,yes
Eucalyptus uncinata,yes
Eucalyptus varia subsp. salsuginosa,yes
Eucalyptus verrucata,yes
Eucalyptus victoriana,yes
Eucalyptus viminalis subsp. cygnetensis,yes
Eucalyptus viminalis subsp. pryoriana,yes
Eucalyptus viminalis subsp. viminalis,yes
Eucalyptus viridis,yes
Eucalyptus vokesensis,yes
Eucalyptus williamsiana,yes
Eucalyptus willisii subsp. falciformis,yes
Eucalyptus willisii subsp. willisii,yes
Eucalyptus wyolensis,yes
Eucalyptus yalatensis,yes
Eucalyptus yarraensis,yes
Eucalyptus youmanii,yes
Eucalyptus youngiana,yes
Eucalyptus zopherophloia,yes
