"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"529","Eucalyptus distuberosa subsp. aerata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"530","Eucalyptus distuberosa subsp. distuberosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"531","Eucalyptus diversicolor",NA,NA,"shedding",NA,NA,NA,NA,NA
"532","Eucalyptus diversifolia subsp. diversifolia",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"533","Eucalyptus dolichorhyncha",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"534","Eucalyptus dolorosa",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"535","Eucalyptus doratoxylon",NA,NA,"shedding",NA,NA,NA,NA,NA
"536","Eucalyptus dorrienii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"537","Eucalyptus dorrigoensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"538","Eucalyptus drummondii",NA,NA,"shedding",NA,NA,NA,NA,NA
"539","Eucalyptus dumosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"540","Eucalyptus dundasii",NA,NA,"shedding",NA,NA,NA,NA,NA
"541","Eucalyptus dunnii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"542","Eucalyptus dwyeri",NA,NA,"shedding",NA,NA,NA,NA,NA
"543","Eucalyptus ebbanoensis subsp. ebbanoensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"544","Eucalyptus ebbanoensis subsp. photina",NA,NA,"shedding",NA,NA,NA,NA,NA
"545","Eucalyptus ecostata",NA,NA,"shedding",NA,NA,NA,NA,NA
"546","Eucalyptus elaeophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"547","Eucalyptus elata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"548","Eucalyptus elliptica",NA,NA,"shedding",NA,NA,NA,NA,NA
"549","Eucalyptus erectifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"550","Eucalyptus eremophila",NA,NA,"shedding",NA,NA,NA,NA,NA
"551","Eucalyptus erythrandra",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"552","Eucalyptus erythrocorys",NA,NA,"shedding",NA,NA,NA,NA,NA
"553","Eucalyptus erythronema subsp. erythronema",NA,NA,"shedding",NA,NA,NA,NA,NA
"554","Eucalyptus erythronema subsp. inornata",NA,NA,"shedding",NA,NA,NA,NA,NA
"555","Eucalyptus exigua",NA,NA,"shedding",NA,NA,NA,NA,NA
"556","Eucalyptus exilis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"557","Eucalyptus extensa",NA,NA,"shedding",NA,NA,NA,NA,NA
"558","Eucalyptus falcata",NA,NA,"shedding",NA,NA,NA,NA,NA
"559","Eucalyptus fasciculosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"560","Eucalyptus flavida",NA,NA,"shedding",NA,NA,NA,NA,NA
"561","Eucalyptus flindersii",NA,NA,"shedding",NA,NA,NA,NA,NA
"562","Eucalyptus flocktoniae subsp. flocktoniae",NA,NA,"shedding",NA,NA,NA,NA,NA
"563","Eucalyptus flocktoniae subsp. hebes",NA,NA,"shedding",NA,NA,NA,NA,NA
"564","Eucalyptus foliosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"565","Eucalyptus forrestiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"566","Eucalyptus fraseri subsp. fraseri",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"567","Eucalyptus fraseri subsp. melanobasis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"568","Eucalyptus fraxinoides",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"569","Eucalyptus frenchiana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"570","Eucalyptus gardneri subsp. gardneri",NA,NA,"shedding",NA,NA,NA,NA,NA
"571","Eucalyptus gardneri subsp. ravensthorpensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"572","Eucalyptus georgei subsp. fulgida",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"573","Eucalyptus georgei subsp. georgei",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"574","Eucalyptus gillenii",NA,NA,"shedding",NA,NA,NA,NA,NA
"575","Eucalyptus gittinsii subsp. gittinsii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"576","Eucalyptus glaucescens",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"577","Eucalyptus glaucina",NA,NA,"shedding",NA,NA,NA,NA,NA
"578","Eucalyptus globulus subsp. bicostata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"579","Eucalyptus globulus subsp. globulus",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"580","Eucalyptus globulus subsp. maidenii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"581","Eucalyptus globulus subsp. pseudoglobulus",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"582","Eucalyptus glomericassis",NA,NA,"shedding",NA,NA,NA,NA,NA
"583","Eucalyptus gongylocarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"584","Eucalyptus goniantha subsp. kynoura",NA,NA,"shedding",NA,NA,NA,NA,NA
"585","Eucalyptus goniocarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"586","Eucalyptus gregoriensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"587","Eucalyptus gregsoniana",NA,NA,"shedding",NA,NA,NA,NA,NA
"588","Eucalyptus grisea",NA,NA,"shedding",NA,NA,NA,NA,NA
"589","Eucalyptus gunnii",NA,NA,"shedding",NA,NA,NA,NA,NA
"590","Eucalyptus haemastoma",NA,NA,"shedding",NA,NA,NA,NA,NA
"591","Eucalyptus hallii",NA,NA,"shedding",NA,NA,NA,NA,NA
"592","Eucalyptus hebetifolia",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"593","Eucalyptus herbertiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"594","Eucalyptus histophylla",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"595","Eucalyptus houseana",NA,NA,"shedding",NA,NA,NA,NA,NA
"596","Eucalyptus imlayensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"597","Eucalyptus impensa",NA,NA,"shedding",NA,NA,NA,NA,NA
"598","Eucalyptus incerata",NA,NA,"shedding",NA,NA,NA,NA,NA
"599","Eucalyptus incrassata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"600","Eucalyptus infera",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"601","Eucalyptus interstans",NA,NA,"shedding",NA,NA,NA,NA,NA
"602","Eucalyptus johnstonii",NA,NA,"shedding",NA,NA,NA,NA,NA
"603","Eucalyptus kenneallyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"604","Eucalyptus kessellii subsp. eugnosta",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"605","Eucalyptus kessellii subsp. kessellii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"606","Eucalyptus kitsoniana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"607","Eucalyptus kondininensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"608","Eucalyptus kondininensis subsp. tuberosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"609","Eucalyptus kumarlensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"610","Eucalyptus kybeanensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"611","Eucalyptus lacrimans",NA,NA,"shedding",NA,NA,NA,NA,NA
"612","Eucalyptus laeliae",NA,NA,"shedding",NA,NA,NA,NA,NA
"613","Eucalyptus lane-poolei",NA,NA,"shedding",NA,NA,NA,NA,NA
"614","Eucalyptus langleyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"615","Eucalyptus largeana",NA,NA,"shedding",NA,NA,NA,NA,NA
"616","Eucalyptus latens",NA,NA,"shedding",NA,NA,NA,NA,NA
"617","Eucalyptus lehmanii subsp. parallela",NA,NA,"shedding",NA,NA,NA,NA,NA
"618","Eucalyptus lehmannii subsp. lehmannii",NA,NA,"shedding",NA,NA,NA,NA,NA
"619","Eucalyptus leptocalyx",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"620","Eucalyptus leptophylla",NA,NA,"shedding",NA,NA,NA,NA,NA
"621","Eucalyptus leptopoda subsp. elevata",NA,NA,"shedding",NA,NA,NA,NA,NA
"622","Eucalyptus lesouefii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"623","Eucalyptus leucophloia subsp. euroa",NA,NA,"shedding",NA,NA,NA,NA,NA
"624","Eucalyptus leucophloia subsp. leucophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"625","Eucalyptus ligulata subsp. ligulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"626","Eucalyptus ligulata subsp. stirlingica",NA,NA,"shedding",NA,NA,NA,NA,NA
"627","Eucalyptus litorea",NA,NA,"shedding",NA,NA,NA,NA,NA
"628","Eucalyptus livida",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"629","Eucalyptus longirostrata",NA,NA,"shedding",NA,NA,NA,NA,NA
"630","Eucalyptus loxophleba subsp. gratiae",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"631","Eucalyptus loxophleba subsp. lissophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"632","Eucalyptus lucasii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"633","Eucalyptus lucens",NA,NA,"shedding",NA,NA,NA,NA,NA
"634","Eucalyptus luculenta",NA,NA,"shedding",NA,NA,NA,NA,NA
"635","Eucalyptus luehmanniana",NA,NA,"shedding",NA,NA,NA,NA,NA
"636","Eucalyptus luteola",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"637","Eucalyptus macrocarpa subsp. elachantha",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"638","Eucalyptus macrocarpa subsp. macrocarpa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"639","Eucalyptus major",NA,NA,"shedding",NA,NA,NA,NA,NA
"640","Eucalyptus mannifera subsp. gullickii",NA,NA,"shedding",NA,NA,NA,NA,NA
"641","Eucalyptus mannifera subsp. mannifera",NA,NA,"shedding",NA,NA,NA,NA,NA
"642","Eucalyptus mannifera subsp. praecox",NA,NA,"shedding",NA,NA,NA,NA,NA
"643","Eucalyptus mcquoidii",NA,NA,"shedding",NA,NA,NA,NA,NA
"644","Eucalyptus medialis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"645","Eucalyptus megacarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"646","Eucalyptus megacornuta",NA,NA,"shedding",NA,NA,NA,NA,NA
"647","Eucalyptus melanophitra",NA,NA,"shedding",NA,NA,NA,NA,NA
"648","Eucalyptus michaeliana",NA,NA,"shedding",NA,NA,NA,NA,NA
"649","Eucalyptus micranthera",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"650","Eucalyptus microcarpa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"651","Eucalyptus microschema",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"652","Eucalyptus mimica subsp. continens",NA,NA,"shedding",NA,NA,NA,NA,NA
"653","Eucalyptus mimica subsp. mimica",NA,NA,"shedding",NA,NA,NA,NA,NA
"654","Eucalyptus mitchelliana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"655","Eucalyptus moluccana",NA,NA,"shedding",NA,NA,NA,NA,NA
"656","Eucalyptus mooreana",NA,NA,"shedding",NA,NA,NA,NA,NA
"657","Eucalyptus moorei subsp. moorei",NA,NA,"shedding",NA,NA,NA,NA,NA
"658","Eucalyptus moorei subsp. serpentinicola",NA,NA,"shedding",NA,NA,NA,NA,NA
"659","Eucalyptus morrisbyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"660","Eucalyptus multicaulis",NA,NA,"shedding",NA,NA,NA,NA,NA
"661","Eucalyptus myriadena",NA,NA,"shedding",NA,NA,NA,NA,NA
"662","Eucalyptus nebulosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"663","Eucalyptus neutra",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"664","Eucalyptus newbeyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"665","Eucalyptus nigrifunda",NA,NA,"shedding",NA,NA,NA,NA,NA
"666","Eucalyptus nitens",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"667","Eucalyptus nobilis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"668","Eucalyptus notactites",NA,NA,"shedding",NA,NA,NA,NA,NA
"669","Eucalyptus nudicaulis",NA,NA,"shedding",NA,NA,NA,NA,NA
"670","Eucalyptus nutans",NA,NA,"shedding",NA,NA,NA,NA,NA
"671","Eucalyptus obesa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"672","Eucalyptus obtusiflora",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"673","Eucalyptus ochrophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"674","Eucalyptus odontocarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"675","Eucalyptus olivina",NA,NA,"shedding",NA,NA,NA,NA,NA
"676","Eucalyptus opimiflora",NA,NA,"shedding",NA,NA,NA,NA,NA
"677","Eucalyptus optima",NA,NA,"shedding",NA,NA,NA,NA,NA
"678","Eucalyptus ordiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"679","Eucalyptus oreades",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"680","Eucalyptus orgadophila",NA,NA,"shedding",NA,NA,NA,NA,NA
"681","Eucalyptus ornata",NA,NA,"shedding",NA,NA,NA,NA,NA
"682","Eucalyptus orthostemon",NA,NA,"shedding",NA,NA,NA,NA,NA
"683","Eucalyptus ovata var. grandiflora",NA,NA,"shedding",NA,NA,NA,NA,NA
"684","Eucalyptus pachycalyx subsp. pachycalyx",NA,NA,"shedding",NA,NA,NA,NA,NA
"685","Eucalyptus pachycalyx subsp. waajensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"686","Eucalyptus pachyloma",NA,NA,"shedding",NA,NA,NA,NA,NA
"687","Eucalyptus paliformis",NA,NA,"shedding",NA,NA,NA,NA,NA
"688","Eucalyptus pantoleuca",NA,NA,"shedding",NA,NA,NA,NA,NA
"689","Eucalyptus parramattensis subsp. decadens",NA,NA,"shedding",NA,NA,NA,NA,NA
"690","Eucalyptus parramattensis subsp. parramattensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"691","Eucalyptus parramattensis var. sphaerocalyx",NA,NA,"shedding",NA,NA,NA,NA,NA
"692","Eucalyptus parvula",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"693","Eucalyptus pauciflora subsp. acerina",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"694","Eucalyptus pauciflora subsp. debeuzevillei",NA,NA,"shedding",NA,NA,NA,NA,NA
"695","Eucalyptus pauciflora subsp. hedraia",NA,NA,"shedding",NA,NA,NA,NA,NA
"696","Eucalyptus pauciflora subsp. niphophila",NA,NA,"shedding",NA,NA,NA,NA,NA
"697","Eucalyptus pauciflora subsp. pauciflora",NA,NA,"shedding",NA,NA,NA,NA,NA
"698","Eucalyptus pendens",NA,NA,"shedding",NA,NA,NA,NA,NA
"699","Eucalyptus perangusta",NA,NA,"shedding",NA,NA,NA,NA,NA
"700","Eucalyptus percostata",NA,NA,"shedding",NA,NA,NA,NA,NA
"701","Eucalyptus perriniana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"702","Eucalyptus petiolaris",NA,NA,"shedding",NA,NA,NA,NA,NA
"703","Eucalyptus petrensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"704","Eucalyptus phaenophylla subsp. interjacens",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"705","Eucalyptus phaenophylla subsp. phaenophylla",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"706","Eucalyptus phenax subsp. compressa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"707","Eucalyptus phenax subsp. phenax",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"708","Eucalyptus pilbarensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"709","Eucalyptus pileata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"710","Eucalyptus pimpiniana",NA,NA,"shedding",NA,NA,NA,NA,NA
"711","Eucalyptus platydisca",NA,NA,"shedding",NA,NA,NA,NA,NA
"712","Eucalyptus platyphylla",NA,NA,"shedding",NA,NA,NA,NA,NA
"713","Eucalyptus platypus subsp. congregata",NA,NA,"shedding",NA,NA,NA,NA,NA
"714","Eucalyptus platypus subsp. platypus",NA,NA,"shedding",NA,NA,NA,NA,NA
"715","Eucalyptus pleurocarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"716","Eucalyptus pluricaulis subsp. pluricaulis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"717","Eucalyptus pluricaulis subsp. porphyrea",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"718","Eucalyptus polita",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"719","Eucalyptus praetermissa",NA,NA,"shedding",NA,NA,NA,NA,NA
"720","Eucalyptus prava",NA,NA,"shedding",NA,NA,NA,NA,NA
"721","Eucalyptus preissiana subsp. lobata",NA,NA,"shedding",NA,NA,NA,NA,NA
"722","Eucalyptus preissiana subsp. preissiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"723","Eucalyptus prolixa",NA,NA,"shedding",NA,NA,NA,NA,NA
"724","Eucalyptus propinqua",NA,NA,"shedding",NA,NA,NA,NA,NA
"725","Eucalyptus protensa",NA,NA,"shedding",NA,NA,NA,NA,NA
"726","Eucalyptus pterocarpa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"727","Eucalyptus pulverulenta",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"728","Eucalyptus pumila",NA,NA,"shedding",NA,NA,NA,NA,NA
"729","Eucalyptus punctata",NA,NA,"shedding",NA,NA,NA,NA,NA
"730","Eucalyptus purpurata",NA,NA,"shedding",NA,NA,NA,NA,NA
"731","Eucalyptus pyriformis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"732","Eucalyptus quaerenda",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"733","Eucalyptus racemosa subsp. racemosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"734","Eucalyptus racemosa subsp. rossii",NA,NA,"shedding",NA,NA,NA,NA,NA
"735","Eucalyptus rameliana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"736","Eucalyptus ravida",NA,NA,"shedding",NA,NA,NA,NA,NA
"737","Eucalyptus recta",NA,NA,"shedding",NA,NA,NA,NA,NA
"738","Eucalyptus recurva",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"739","Eucalyptus redunca",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"740","Eucalyptus retusa",NA,NA,"shedding",NA,NA,NA,NA,NA
"741","Eucalyptus rhodantha",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"742","Eucalyptus rhomboidea",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"743","Eucalyptus rigens",NA,NA,"shedding",NA,NA,NA,NA,NA
"744","Eucalyptus risdonii",NA,NA,"shedding",NA,NA,NA,NA,NA
"745","Eucalyptus rosacea",NA,NA,"shedding",NA,NA,NA,NA,NA
"746","Eucalyptus rowleyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"747","Eucalyptus rubida subsp. barbigerorum",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"748","Eucalyptus rubida subsp. rubida",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"749","Eucalyptus rugosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"750","Eucalyptus rugulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"751","Eucalyptus rupestris",NA,NA,"shedding",NA,NA,NA,NA,NA
"752","Eucalyptus salicola",NA,NA,"shedding",NA,NA,NA,NA,NA
"753","Eucalyptus saligna",NA,NA,"shedding",NA,NA,NA,NA,NA
"754","Eucalyptus salmonophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"755","Eucalyptus salubris",NA,NA,"shedding",NA,NA,NA,NA,NA
"756","Eucalyptus sargentii subsp. onesia",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"757","Eucalyptus sargentii subsp. sargentii",NA,NA,"shedding",NA,NA,NA,NA,NA
"758","Eucalyptus saxatilis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"759","Eucalyptus scoparia",NA,NA,"shedding",NA,NA,NA,NA,NA
"760","Eucalyptus seeana",NA,NA,"shedding",NA,NA,NA,NA,NA
"761","Eucalyptus semiglobosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"762","Eucalyptus sepulcralis",NA,NA,"shedding",NA,NA,NA,NA,NA
"763","Eucalyptus sessilis",NA,NA,"shedding",NA,NA,NA,NA,NA
"764","Eucalyptus sheathiana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"765","Eucalyptus singularis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"766","Eucalyptus sinuosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"767","Eucalyptus smithii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"768","Eucalyptus socialis subsp. viridans",NA,NA,"shedding",NA,NA,NA,NA,NA
"769","Eucalyptus sp. Kalbarri",NA,NA,"shedding",NA,NA,NA,NA,NA
"770","Eucalyptus sp. Southern Wheatbelt",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"771","Eucalyptus sp. Undulans",NA,NA,"shedding",NA,NA,NA,NA,NA
"772","Eucalyptus spathulata subsp. salina",NA,NA,"shedding",NA,NA,NA,NA,NA
"773","Eucalyptus spathulata subsp. spathulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"774","Eucalyptus sporadica",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"775","Eucalyptus spreta",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"776","Eucalyptus steedmanii",NA,NA,"shedding",NA,NA,NA,NA,NA
"777","Eucalyptus stellulata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"778","Eucalyptus stoatei",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"779","Eucalyptus stowardii",NA,NA,"shedding",NA,NA,NA,NA,NA
"780","Eucalyptus stricklandii",NA,NA,"shedding",NA,NA,NA,NA,NA
"781","Eucalyptus stricta",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"782","Eucalyptus strzeleckii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"783","Eucalyptus sturgissiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"784","Eucalyptus subangusta subsp. cerina",NA,NA,"shedding",NA,NA,NA,NA,NA
"785","Eucalyptus subangusta subsp. pusilla",NA,NA,"shedding",NA,NA,NA,NA,NA
"786","Eucalyptus subangusta subsp. subangusta",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"787","Eucalyptus subangusta subsp. virescens",NA,NA,"shedding",NA,NA,NA,NA,NA
"788","Eucalyptus subcrenulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"789","Eucalyptus suberea",NA,NA,"shedding",NA,NA,NA,NA,NA
"790","Eucalyptus subtilis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"791","Eucalyptus suggrandis subsp. promiscua",NA,NA,"shedding",NA,NA,NA,NA,NA
"792","Eucalyptus suggrandis subsp. suggrandis",NA,NA,"shedding",NA,NA,NA,NA,NA
"793","Eucalyptus sweedmaniana",NA,NA,"shedding",NA,NA,NA,NA,NA
"794","Eucalyptus synandra",NA,NA,"shedding",NA,NA,NA,NA,NA
"795","Eucalyptus talyuberlup",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"796","Eucalyptus tenera",NA,NA,"shedding",NA,NA,NA,NA,NA
"797","Eucalyptus tenuiramis",NA,NA,"shedding",NA,NA,NA,NA,NA
"798","Eucalyptus tenuis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"799","Eucalyptus tephroclada",NA,NA,"shedding",NA,NA,NA,NA,NA
"800","Eucalyptus terebra",NA,NA,"shedding",NA,NA,NA,NA,NA
"801","Eucalyptus tereticornis subsp. basaltica",NA,NA,"shedding",NA,NA,NA,NA,NA
"802","Eucalyptus tereticornis subsp. mediana",NA,NA,"shedding",NA,NA,NA,NA,NA
"803","Eucalyptus tereticornis subsp. rotunda",NA,NA,"shedding",NA,NA,NA,NA,NA
"804","Eucalyptus tereticornis subsp. tereticornis",NA,NA,"shedding",NA,NA,NA,NA,NA
"805","Eucalyptus tetraptera",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"806","Eucalyptus thamnoides subsp. thamnoides",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"807","Eucalyptus thozetiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"808","Eucalyptus tintinnans",NA,NA,"shedding",NA,NA,NA,NA,NA
"809","Eucalyptus torquata",NA,NA,"shedding",NA,NA,NA,NA,NA
"810","Eucalyptus tortilis",NA,NA,"shedding",NA,NA,NA,NA,NA
"811","Eucalyptus transcontinentalis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"812","Eucalyptus tumida",NA,NA,"shedding",NA,NA,NA,NA,NA
"813","Eucalyptus umbrawarrensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"814","Eucalyptus urna",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"815","Eucalyptus urnigera",NA,NA,"shedding",NA,NA,NA,NA,NA
"816","Eucalyptus utilis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"817","Eucalyptus valens",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"818","Eucalyptus varia subsp. varia",NA,NA,"shedding",NA,NA,NA,NA,NA
"819","Eucalyptus vegrandis subsp. recondita",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"820","Eucalyptus vegrandis subsp. vegrandis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"821","Eucalyptus vernicosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"822","Eucalyptus vesiculosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"823","Eucalyptus vicina",NA,NA,"shedding",NA,NA,NA,NA,NA
"824","Eucalyptus victrix",NA,NA,"shedding",NA,NA,NA,NA,NA
"825","Eucalyptus viminalis subsp. hentyensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"826","Eucalyptus virginea",NA,NA,"shedding",NA,NA,NA,NA,NA
"827","Eucalyptus vittata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"828","Eucalyptus wandoo subsp. pulverea",NA,NA,"shedding",NA,NA,NA,NA,NA
"829","Eucalyptus wandoo subsp. wandoo",NA,NA,"shedding",NA,NA,NA,NA,NA
"830","Eucalyptus wilcoxii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
