"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"201","Eucalyptus aspersa",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"202","Eucalyptus balladoniensis subsp. balladoniensis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"203","Eucalyptus balladoniensis subsp. sedens",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"204","Eucalyptus baudiniana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"205","Eucalyptus bensonii",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"206","Eucalyptus brachycalyx",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"207","Eucalyptus calyerup",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"208","Eucalyptus ceratocorys",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"209","Eucalyptus chapmaniana",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"210","Eucalyptus chartaboma",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"211","Eucalyptus chloroclada",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"212","Eucalyptus clelandii",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"213","Eucalyptus concinna",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"214","Eucalyptus conveniens",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"215","Eucalyptus cooperiana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"216","Eucalyptus corrugata",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
