species,bark
Eucalyptus persistens subsp. persistens,branches rough
Eucalyptus persistens subsp. tardecidens,branches rough
Eucalyptus phoenicea,branches rough
Eucalyptus piperita subsp. piperita,branches rough
Eucalyptus piperita subsp. urceolaris,branches rough
Eucalyptus placita,branches rough
Eucalyptus planchoniana,branches rough
Eucalyptus platycorys,branches rough
Eucalyptus polyanthemos subsp. longior,branches rough
Eucalyptus polyanthemos subsp. vestita,branches rough
Eucalyptus populnea,branches rough
Eucalyptus porosa,branches rough
Eucalyptus prominula,branches rough
Eucalyptus provecta,branches rough
Eucalyptus pruinosa subsp. pruinosa,branches rough
Eucalyptus pruinosa subsp. tenuata,branches rough
Eucalyptus psammitica,branches rough
Eucalyptus pyrocarpa,branches rough
Eucalyptus quadrangulata,branches rough
Eucalyptus quadricostata,branches rough
Eucalyptus radiata subsp. radiata,branches rough
Eucalyptus radiata subsp. robertsonii,branches rough
Eucalyptus radiata subsp. sejuncta,branches rough
Eucalyptus raveretiana,branches rough
Eucalyptus relicta,branches rough
Eucalyptus resinifera subsp. hemilampra,branches rough
Eucalyptus resinifera subsp. resinifera,branches rough
Eucalyptus retinens,branches rough
Eucalyptus rhombica,branches rough
Eucalyptus robusta,branches rough
Eucalyptus rodwayi,branches rough
Eucalyptus rubiginosa,branches rough
Eucalyptus rudderi,branches rough
Eucalyptus rudis subsp. cratyantha,branches rough
Eucalyptus rudis subsp. rudis,branches rough
Eucalyptus rummeryi,branches rough
Eucalyptus scias subsp. apoda,branches rough
Eucalyptus scias subsp. scias,branches rough
Eucalyptus scopulorum,branches rough
Eucalyptus semota,branches rough
Eucalyptus serraensis,branches rough
Eucalyptus shirleyi,branches rough
Eucalyptus sicilifolia,branches rough
Eucalyptus siderophloia,branches rough
Eucalyptus sideroxylon,branches rough
Eucalyptus similis,branches rough
Eucalyptus sp. Cockburn,branches rough
Eucalyptus sp. Dorsiventralis,branches rough
Eucalyptus sparsifolia,branches rough
Eucalyptus sphaerocarpa,branches rough
Eucalyptus splendens subsp. arcana,branches rough
Eucalyptus splendens subsp. splendens,branches rough
Eucalyptus squamosa,branches rough
Eucalyptus staeri,branches rough
Eucalyptus staigeriana,branches rough
Eucalyptus striaticalyx,branches rough
Eucalyptus suffulgens,branches rough
Eucalyptus taurina,branches rough
Eucalyptus tectifica,branches rough
Eucalyptus tenella,branches rough
Eucalyptus tenuipes,branches rough
Eucalyptus tephrodes,branches rough
Eucalyptus tetrapleura,branches rough
Eucalyptus tetrodonta,branches rough
Eucalyptus tholiformis,branches rough
Eucalyptus tindaliae,branches rough
Eucalyptus todtiana,branches rough
Eucalyptus tricarpa,branches rough
Eucalyptus umbra,branches rough
Eucalyptus viminalis subsp. cygnetensis,branches rough
Eucalyptus viminalis subsp. pryoriana,branches rough
Eucalyptus virens,branches rough
Eucalyptus volcanica,branches rough
Eucalyptus whitei,branches rough
Eucalyptus williamsiana,branches rough
Eucalyptus willisii subsp. falciformis,branches rough
Eucalyptus willisii subsp. willisii,branches rough
Eucalyptus wyolensis,branches rough
Eucalyptus x balanites,branches rough
Eucalyptus x phylacis,branches rough
Eucalyptus xerothermica,branches rough
Eucalyptus yalatensis,branches rough
Eucalyptus yarraensis,branches rough
Eucalyptus youmanii,branches rough
Eucalyptus youngiana,branches rough
Eucalyptus zopherophloia,branches rough
