species,bark
Eucalyptus longicornis,wholly rough
Eucalyptus longifolia,wholly rough
Eucalyptus loxophleba subsp. loxophleba,wholly rough
Eucalyptus loxophleba subsp. supralaevis,wholly rough
Eucalyptus macarthurii,wholly rough
Eucalyptus mackintii,wholly rough
Eucalyptus macrorhyncha subsp. cannonii,wholly rough
Eucalyptus macrorhyncha subsp. macrorhyncha,wholly rough
Eucalyptus magnificata,wholly rough
Eucalyptus malacoxylon,wholly rough
Eucalyptus mannensis subsp. mannensis,wholly rough
Eucalyptus mannensis subsp. vespertina,wholly rough
Eucalyptus marginata subsp. elegantella,wholly rough
Eucalyptus marginata subsp. marginata,wholly rough
Eucalyptus marginata subsp. thalassica,wholly rough
Eucalyptus mckieana,wholly rough
Eucalyptus mediocris,wholly rough
Eucalyptus megasepala,wholly rough
Eucalyptus melanoleuca,wholly rough
Eucalyptus melanophitra,wholly rough
Eucalyptus melanophloia subsp. melanophloia,wholly rough
Eucalyptus melanophloia subsp. nana,wholly rough
Eucalyptus melanoxylon,wholly rough
Eucalyptus melliodora,wholly rough
Eucalyptus merrickiae,wholly rough
Eucalyptus microcarpa,wholly rough
Eucalyptus microcorys,wholly rough
Eucalyptus microneura,wholly rough
Eucalyptus microtheca,wholly rough
Eucalyptus miniata,wholly rough
Eucalyptus moderata,wholly rough
Eucalyptus moluccana,wholly rough
Eucalyptus morrisii,wholly rough
Eucalyptus muelleriana,wholly rough
Eucalyptus neglecta,wholly rough
Eucalyptus nicholii,wholly rough
Eucalyptus nigrifunda,wholly rough
Eucalyptus nitida,wholly rough
Eucalyptus normantonensis,wholly rough
Eucalyptus nortonii,wholly rough
Eucalyptus notabilis,wholly rough
Eucalyptus nova-anglica,wholly rough
Eucalyptus obconica,wholly rough
Eucalyptus obliqua,wholly rough
Eucalyptus occidentalis,wholly rough
Eucalyptus odorata,wholly rough
Eucalyptus oldfieldii,wholly rough
Eucalyptus oleosa subsp. oleosa,wholly rough
Eucalyptus olida,wholly rough
Eucalyptus oligantha,wholly rough
Eucalyptus ophitica,wholly rough
Eucalyptus orgadophila,wholly rough
Eucalyptus ovularis,wholly rough
Eucalyptus paedoglauca,wholly rough
Eucalyptus panda,wholly rough
Eucalyptus paniculata,wholly rough
Eucalyptus patellaris,wholly rough
Eucalyptus patens,wholly rough
Eucalyptus pellita,wholly rough
Eucalyptus persistens subsp. persistens,wholly rough
Eucalyptus persistens subsp. tardecidens,wholly rough
Eucalyptus petiolaris,wholly rough
Eucalyptus phoenicea,wholly rough
Eucalyptus pilularis,wholly rough
Eucalyptus piperita subsp. piperita,wholly rough
Eucalyptus piperita subsp. urceolaris,wholly rough
Eucalyptus placita,wholly rough
Eucalyptus planchoniana,wholly rough
Eucalyptus platycorys,wholly rough
Eucalyptus polyanthemos subsp. longior,wholly rough
Eucalyptus polyanthemos subsp. vestita,wholly rough
Eucalyptus populnea,wholly rough
Eucalyptus porosa,wholly rough
Eucalyptus prominula,wholly rough
Eucalyptus provecta,wholly rough
Eucalyptus pruinosa subsp. pruinosa,wholly rough
Eucalyptus pruinosa subsp. tenuata,wholly rough
Eucalyptus psammitica,wholly rough
Eucalyptus pyrocarpa,wholly rough
Eucalyptus quadrangulata,wholly rough
Eucalyptus quadricostata,wholly rough
Eucalyptus radiata subsp. radiata,wholly rough
Eucalyptus radiata subsp. robertsonii,wholly rough
Eucalyptus radiata subsp. sejuncta,wholly rough
Eucalyptus raveretiana,wholly rough
Eucalyptus relicta,wholly rough
Eucalyptus remota,wholly rough
Eucalyptus resinifera subsp. hemilampra,wholly rough
Eucalyptus resinifera subsp. resinifera,wholly rough
Eucalyptus retinens,wholly rough
Eucalyptus rhombica,wholly rough
Eucalyptus robusta,wholly rough
Eucalyptus rodwayi,wholly rough
Eucalyptus rubiginosa,wholly rough
Eucalyptus rudderi,wholly rough
Eucalyptus rudis subsp. cratyantha,wholly rough
Eucalyptus rudis subsp. rudis,wholly rough
Eucalyptus rummeryi,wholly rough
Eucalyptus sargentii subsp. sargentii,wholly rough
Eucalyptus scias subsp. apoda,wholly rough
Eucalyptus scias subsp. scias,wholly rough
Eucalyptus scopulorum,wholly rough
Eucalyptus semota,wholly rough
Eucalyptus serraensis,wholly rough
Eucalyptus shirleyi,wholly rough
Eucalyptus sicilifolia,wholly rough
Eucalyptus siderophloia,wholly rough
Eucalyptus sideroxylon,wholly rough
Eucalyptus sieberi,wholly rough
Eucalyptus similis,wholly rough
Eucalyptus smithii,wholly rough
Eucalyptus sp. Cockburn,wholly rough
Eucalyptus sp. Dorsiventralis,wholly rough
Eucalyptus sparsa,wholly rough
Eucalyptus sparsifolia,wholly rough
Eucalyptus sphaerocarpa,wholly rough
Eucalyptus splendens subsp. arcana,wholly rough
Eucalyptus splendens subsp. splendens,wholly rough
Eucalyptus squamosa,wholly rough
Eucalyptus staeri,wholly rough
Eucalyptus staigeriana,wholly rough
Eucalyptus striaticalyx,wholly rough
Eucalyptus suberea,wholly rough
Eucalyptus suffulgens,wholly rough
Eucalyptus taurina,wholly rough
Eucalyptus tectifica,wholly rough
Eucalyptus tenella,wholly rough
Eucalyptus tenuipes,wholly rough
Eucalyptus tephrodes,wholly rough
Eucalyptus terrica,wholly rough
Eucalyptus tetrapleura,wholly rough
Eucalyptus tetrodonta,wholly rough
Eucalyptus tholiformis,wholly rough
Eucalyptus thozetiana,wholly rough
Eucalyptus tindaliae,wholly rough
Eucalyptus todtiana,wholly rough
Eucalyptus torquata,wholly rough
Eucalyptus tricarpa,wholly rough
Eucalyptus trivalvis,wholly rough
Eucalyptus umbra,wholly rough
Eucalyptus victoriana,wholly rough
Eucalyptus viminalis subsp. cygnetensis,wholly rough
Eucalyptus viminalis subsp. pryoriana,wholly rough
Eucalyptus virens,wholly rough
Eucalyptus vokesensis,wholly rough
Eucalyptus volcanica,wholly rough
Eucalyptus whitei,wholly rough
Eucalyptus williamsiana,wholly rough
Eucalyptus willisii subsp. falciformis,wholly rough
Eucalyptus willisii subsp. willisii,wholly rough
Eucalyptus woollsiana,wholly rough
Eucalyptus wyolensis,wholly rough
Eucalyptus x balanites,wholly rough
Eucalyptus x phylacis,wholly rough
Eucalyptus xerothermica,wholly rough
Eucalyptus yalatensis,wholly rough
Eucalyptus yarraensis,wholly rough
Eucalyptus yilgarnensis,wholly rough
Eucalyptus youmanii,wholly rough
Eucalyptus youngiana,wholly rough
Eucalyptus zopherophloia,wholly rough
