,BioNet_unassigned,BioNet_assigned,EUCLID_checked,EUCLID_no_match,Modification type,Notes
2121,NA,NA,Match found,Eucalyptus conspicua subsp. conspicua,"5, 6",Present in NSW; Matched; copied to E. conspicua; ALA lists E. conspicua as a synonym; the APC accepts E. conspicua
2131,NA,NA,Absent in NSW,Eucalyptus conspicua subsp. dispar,5,Absent in NSW
2141,NA,NA,Absent in NSW,Eucalyptus conveniens,5,Absent in NSW
2151,NA,NA,Absent in NSW,Eucalyptus cooperiana,5,Absent in NSW
2161,NA,NA,Absent in NSW,Eucalyptus cordata subsp. cordata,5,Absent in NSW
2171,NA,NA,Absent in NSW,Eucalyptus cordata subsp. quadrangulosa,5,Absent in NSW
2181,NA,NA,Absent in NSW,Eucalyptus cornuta,5,Absent in NSW
2191,NA,NA,Absent in NSW,Eucalyptus coronata,5,Absent in NSW
2201,NA,NA,Absent in NSW,Eucalyptus corrugata,5,Absent in NSW
2211,NA,NA,Absent in NSW,Eucalyptus corynodes,5,Absent in NSW
2221,NA,NA,Absent in NSW,Eucalyptus cosmophylla,5,Absent in NSW
2231,NA,NA,Absent in NSW,Eucalyptus creta,5,Absent in NSW
2241,NA,NA,Absent in NSW,Eucalyptus cretata,5,Absent in NSW
2251,NA,NA,Absent in NSW,Eucalyptus crispata,5,Absent in NSW
2261,NA,NA,Absent in NSW,Eucalyptus crucis subsp. crucis,5,Absent in NSW
2271,NA,NA,Absent in NSW,Eucalyptus crucis subsp. lanceolata,5,Absent in NSW
2281,NA,NA,Absent in NSW,Eucalyptus crucis subsp. praecipua,5,Absent in NSW
2291,NA,NA,Absent in NSW,Eucalyptus cullenii,5,Absent in NSW
2301,NA,NA,Absent in NSW,Eucalyptus cuprea,5,Absent in NSW
2311,NA,NA,Absent in NSW,Eucalyptus cupularis,5,Absent in NSW
2321,NA,NA,Absent in NSW,Eucalyptus curtisii,5,Absent in NSW
2331,NA,NA,Absent in NSW,Eucalyptus cyclostoma,5,Absent in NSW
2341,NA,NA,Absent in NSW,Eucalyptus cylindriflora,5,Absent in NSW
2351,NA,NA,Absent in NSW,Eucalyptus cylindrocarpa,5,Absent in NSW
2361,NA,NA,Absent in NSW,Eucalyptus decipiens,5,Absent in NSW
2371,NA,NA,Absent in NSW,Eucalyptus decolor,5,Absent in NSW
2381,NA,NA,Absent in NSW,Eucalyptus decorticans,5,Absent in NSW
2391,NA,NA,Absent in NSW,Eucalyptus decurva,5,Absent in NSW
2401,NA,NA,Absent in NSW,Eucalyptus deflexa,5,Absent in NSW
2411,NA,NA,Absent in NSW,Eucalyptus delegatensis subsp. tasmaniensis,5,Absent in NSW
2421,NA,NA,Absent in NSW,Eucalyptus delicata,5,Absent in NSW
2431,NA,NA,Absent in NSW,Eucalyptus densa subsp. densa,5,Absent in NSW
2441,NA,NA,Absent in NSW,Eucalyptus densa subsp. improcera,5,Absent in NSW
2451,NA,NA,NA,Eucalyptus denticulata,"5, 6",Present in NSW- rare; synonym of E. sp. aff. nitens listed in the APC but not in BioNet
2461,NA,NA,Absent in NSW,Eucalyptus depauperata,5,Absent in NSW
2471,NA,NA,Absent in NSW,Eucalyptus desmondensis,5,Absent in NSW
2481,NA,NA,NA,Eucalyptus deuaensis,"5, 6",Present in NSW- rare; no synonyms listed
2491,NA,NA,Absent in NSW,Eucalyptus dielsii,5,Absent in NSW
2501,NA,NA,Absent in NSW,Eucalyptus diminuta,5,Absent in NSW
2511,NA,NA,Absent in NSW,Eucalyptus diptera,5,Absent in NSW
2521,NA,NA,Absent in NSW,Eucalyptus discreta,5,Absent in NSW
2531,NA,NA,Absent in NSW,Eucalyptus dissimulata,5,Absent in NSW
2541,NA,NA,Absent in NSW,Eucalyptus distans,5,Absent in NSW
2551,NA,NA,Absent in NSW,Eucalyptus distuberosa subsp. aerata,5,Absent in NSW
2561,NA,NA,Absent in NSW,Eucalyptus distuberosa subsp. distuberosa,5,Absent in NSW
2571,NA,NA,Absent in NSW,Eucalyptus diversicolor,5,Absent in NSW
2581,NA,NA,Absent in NSW,Eucalyptus diversifolia subsp. diversifolia,5,Absent in NSW
2591,NA,NA,Absent in NSW,Eucalyptus diversifolia subsp. hesperia,5,Absent in NSW
2601,NA,NA,Absent in NSW,Eucalyptus dolichocera,5,Absent in NSW
2611,NA,NA,Absent in NSW,Eucalyptus dolichorhyncha,5,Absent in NSW
2621,NA,NA,Absent in NSW,Eucalyptus dolorosa,5,Absent in NSW
2631,NA,NA,Absent in NSW,Eucalyptus doratoxylon,5,Absent in NSW
2641,NA,NA,Absent in NSW,Eucalyptus dorrienii,5,Absent in NSW
2651,NA,NA,Absent in NSW,Eucalyptus drummondii,5,Absent in NSW
2661,NA,NA,Absent in NSW,Eucalyptus dundasii,5,Absent in NSW
2671,NA,NA,NA,Eucalyptus dura,5,Present in NSW- rare; couple of synonyms listed but none are in BioNet
2681,NA,NA,Absent in NSW,Eucalyptus ebbanoensis subsp. ebbanoensis,5,Absent in NSW
2691,NA,NA,Absent in NSW,Eucalyptus ebbanoensis subsp. photina,5,Absent in NSW
2701,NA,NA,Absent in NSW,Eucalyptus ecostata,5,Absent in NSW
2711,NA,NA,Absent in NSW,Eucalyptus educta,5,Absent in NSW
2721,NA,NA,Absent in NSW,Eucalyptus effusa,5,Absent in NSW
2731,NA,NA,Absent in NSW,Eucalyptus elaeophloia,5,Absent in NSW
2741,NA,NA,Absent in NSW,Eucalyptus erectifolia,5,Absent in NSW
2751,NA,NA,Absent in NSW,Eucalyptus eremicola subsp. eremicola,5,Absent in NSW
2761,NA,NA,Absent in NSW,Eucalyptus eremicola subsp. peeneri,5,Absent in NSW
2771,NA,NA,Absent in NSW,Eucalyptus eremophila,5,Absent in NSW
2781,NA,NA,Absent in NSW,Eucalyptus erosa,5,Absent in NSW
2791,NA,NA,Absent in NSW,Eucalyptus erythrandra,5,Absent in NSW
2801,NA,NA,Absent in NSW,Eucalyptus erythrocorys,5,Absent in NSW
2811,NA,NA,Absent in NSW,Eucalyptus erythronema subsp. erythronema,5,Absent in NSW
2821,NA,NA,Absent in NSW,Eucalyptus erythronema subsp. inornata,5,Absent in NSW
2831,NA,NA,Absent in NSW,Eucalyptus eudesmioides subsp. eudesmioides,5,Absent in NSW
2841,NA,NA,Absent in NSW,Eucalyptus eudesmioides subsp. Pallida,5,Absent in NSW
2851,NA,NA,Absent in NSW,Eucalyptus ewartiana,5,Absent in NSW
2861,NA,NA,Absent in NSW,Eucalyptus exigua,5,Absent in NSW
2871,NA,NA,Absent in NSW,Eucalyptus exilipes,5,Absent in NSW
2881,NA,NA,Absent in NSW,Eucalyptus exilis,5,Absent in NSW
2891,NA,NA,Absent in NSW,Eucalyptus extensa,5,Absent in NSW
2901,NA,NA,Absent in NSW,Eucalyptus extrica,5,Absent in NSW
2911,NA,NA,Absent in NSW,Eucalyptus falcata,5,Absent in NSW
2921,NA,NA,Absent in NSW,Eucalyptus famelica,5,Absent in NSW
2931,NA,NA,Absent in NSW,Eucalyptus farinosa,5,Absent in NSW
2941,NA,NA,Absent in NSW,Eucalyptus fasciculosa,5,Absent in NSW
2951,NA,NA,Absent in NSW,Eucalyptus flavida,5,Absent in NSW
2961,NA,NA,Absent in NSW,Eucalyptus flindersii,5,Absent in NSW
2971,NA,NA,Absent in NSW,Eucalyptus flocktoniae subsp. flocktoniae,5,Absent in NSW
2981,NA,NA,Absent in NSW,Eucalyptus flocktoniae subsp. hebes,5,Absent in NSW
2991,NA,NA,Absent in NSW,Eucalyptus foliosa,5,Absent in NSW
3001,NA,NA,Absent in NSW,Eucalyptus formanii,5,Absent in NSW
3011,NA,NA,Absent in NSW,Eucalyptus forrestiana,5,Absent in NSW
3021,NA,NA,Absent in NSW,Eucalyptus fraseri subsp. fraseri,5,Absent in NSW
3031,NA,NA,Absent in NSW,Eucalyptus fraseri subsp. melanobasis,5,Absent in NSW
3041,NA,NA,Absent in NSW,Eucalyptus frenchiana,5,Absent in NSW
3051,NA,NA,Absent in NSW,Eucalyptus froggattii,5,Absent in NSW
3061,NA,NA,Absent in NSW,Eucalyptus fruticosa,5,Absent in NSW
3071,NA,NA,Absent in NSW,Eucalyptus fulgens,5,Absent in NSW
3081,NA,NA,Absent in NSW,Eucalyptus gamophylla,5,Absent in NSW
3091,NA,NA,Absent in NSW,Eucalyptus gardneri subsp. gardneri,5,Absent in NSW
3101,NA,NA,Absent in NSW,Eucalyptus gardneri subsp. ravensthorpensis,5,Absent in NSW
3111,NA,NA,Absent in NSW,Eucalyptus georgei subsp. fulgida,5,Absent in NSW
3121,NA,NA,Absent in NSW,Eucalyptus georgei subsp. georgei,5,Absent in NSW
3131,NA,NA,Absent in NSW,Eucalyptus gigantangion,5,Absent in NSW
3141,NA,NA,Absent in NSW,Eucalyptus gillenii,5,Absent in NSW
3151,NA,NA,Absent in NSW,Eucalyptus gittinsii subsp. gittinsii,5,Absent in NSW
3161,NA,NA,Absent in NSW,Eucalyptus gittinsii subsp. illucida,5,Absent in NSW
3171,NA,NA,Absent in NSW,Eucalyptus globulus subsp. globulus,5,Absent in NSW
3181,NA,NA,Match found,Eucalyptus globulus subsp. pseudoglobulus,"5, 6",Present in NSW; copied to E. pseudoglobulus
3191,NA,NA,Absent in NSW,Eucalyptus glomericassis,5,Absent in NSW
3201,NA,NA,Absent in NSW,Eucalyptus glomerosa,5,Absent in NSW
3211,NA,NA,Absent in NSW,Eucalyptus gomphocephala,5,Absent in NSW
3221,NA,NA,Absent in NSW,Eucalyptus gongylocarpa,5,Absent in NSW
3231,NA,NA,Absent in NSW,Eucalyptus goniantha subsp. goniantha,5,Absent in NSW
3241,NA,NA,Absent in NSW,Eucalyptus goniantha subsp. kynoura,5,Absent in NSW
3251,NA,NA,Absent in NSW,Eucalyptus goniocalyx subsp. exposa,5,Absent in NSW
3261,NA,NA,Absent in NSW,Eucalyptus goniocalyx subsp. viridissima,5,Absent in NSW
3271,NA,NA,Absent in NSW,Eucalyptus goniocarpa,5,Absent in NSW
3281,NA,NA,Absent in NSW,Eucalyptus granitica,5,Absent in NSW
3291,NA,NA,Absent in NSW,Eucalyptus gregoriensis,5,Absent in NSW
3301,NA,NA,Absent in NSW,Eucalyptus griffithsii,5,Absent in NSW
3311,NA,NA,Absent in NSW,Eucalyptus grisea,5,Absent in NSW
3321,NA,NA,Absent in NSW,Eucalyptus grossa,5,Absent in NSW
3331,NA,NA,Absent in NSW,Eucalyptus guilfoylei,5,Absent in NSW
3341,NA,NA,Absent in NSW,Eucalyptus gypsophila,5,Absent in NSW
3351,NA,NA,Absent in NSW,Eucalyptus hallii,5,Absent in NSW
3361,NA,NA,Absent in NSW,Eucalyptus halophila,5,Absent in NSW
3371,NA,NA,Absent in NSW,Eucalyptus hebetifolia,5,Absent in NSW
3381,NA,NA,Absent in NSW,Eucalyptus helidonica,5,Absent in NSW
3391,NA,NA,Absent in NSW,Eucalyptus herbertiana,5,Absent in NSW
3401,NA,NA,Absent in NSW,Eucalyptus histophylla,5,Absent in NSW
3411,NA,NA,Absent in NSW,Eucalyptus horistes,5,Absent in NSW
3421,NA,NA,Absent in NSW,Eucalyptus houseana,5,Absent in NSW
343,NA,NA,Absent in NSW,Eucalyptus howittiana,5,Absent in NSW
3441,NA,NA,Absent in NSW,Eucalyptus hypolaena,5,Absent in NSW
3451,NA,NA,NA,Eucalyptus imlayensis,5,Present in NSW- rare; no synonyms listed
3461,NA,NA,Absent in NSW,Eucalyptus impensa,5,Absent in NSW
3471,NA,NA,Absent in NSW,Eucalyptus incerata,5,Absent in NSW
3481,NA,NA,Absent in NSW,Eucalyptus indurata,5,Absent in NSW
3491,NA,NA,NA,Eucalyptus infera,5,Present in NSW- rare; synonym of E. dealbata var. populnea listed in EUCLID and the APC but not BioNet
3501,NA,NA,Absent in NSW,Eucalyptus insularis,5,Absent in NSW
351,NA,NA,Absent in NSW,Eucalyptus jacksonii,5,Absent in NSW
3521,NA,NA,Absent in NSW,Eucalyptus jensenii,5,Absent in NSW
3531,NA,NA,Absent in NSW,Eucalyptus johnsoniana,5,Absent in NSW
3541,NA,NA,Absent in NSW,Eucalyptus johnstonii,5,Absent in NSW
3551,NA,NA,Absent in NSW,Eucalyptus jucunda,5,Absent in NSW
3561,NA,NA,Absent in NSW,Eucalyptus jutsonii subsp. jutsonii,5,Absent in NSW
3571,NA,NA,Absent in NSW,Eucalyptus jutsonii subsp. kobela,5,Absent in NSW
3581,NA,NA,Absent in NSW,Eucalyptus kabiana,5,Absent in NSW
3591,NA,NA,Absent in NSW,Eucalyptus kenneallyi,5,Absent in NSW
3601,NA,NA,Absent in NSW,Eucalyptus kessellii subsp. eugnosta,5,Absent in NSW
3611,NA,NA,Absent in NSW,Eucalyptus kessellii subsp. kessellii,5,Absent in NSW
3621,NA,NA,Absent in NSW,Eucalyptus kingsmillii subsp. alatissima,5,Absent in NSW
3631,NA,NA,Absent in NSW,Eucalyptus kingsmillii subsp. kingsmillii,5,Absent in NSW
3641,NA,NA,Absent in NSW,Eucalyptus kitsoniana,5,Absent in NSW
3651,NA,NA,Absent in NSW,Eucalyptus kochii subsp. amaryssia,5,Absent in NSW
3661,NA,NA,Absent in NSW,Eucalyptus kochii subsp. borealis,5,Absent in NSW
3671,NA,NA,Absent in NSW,Eucalyptus kochii subsp. kochii,5,Absent in NSW
3681,NA,NA,Absent in NSW,Eucalyptus kochii subsp. plenissima,5,Absent in NSW
3691,NA,NA,Absent in NSW,Eucalyptus kochii subsp. yellowdinensis,5,Absent in NSW
3701,NA,NA,Absent in NSW,Eucalyptus kondininensis,5,Absent in NSW; records listed in NSW are suspect
3711,NA,NA,Absent in NSW,Eucalyptus kondininensis subsp. tuberosa,5,Absent in NSW
3721,NA,NA,Absent in NSW,Eucalyptus koolpinensis,5,Absent in NSW
