,BioNet_unassigned,BioNet_assigned,EUCLID_checked,EUCLID_no_match,Modification type,Notes
1,Angophora bakeri,Angophora bakeri,Angophora bakeri subsp. bakeri,NA,2,
2,Angophora bakeri subsp. bakeri,Angophora bakeri,Angophora bakeri subsp. bakeri,NA,1,
5,Angophora costata,Angophora costata,Angophora costata subsp. costata,NA,2,
6,Angophora costata subsp. costata,Angophora costata,Angophora costata subsp. costata,NA,1,
3,Angophora bakeri subsp. crassifolia,Angophora crassifolia,Angophora bakeri subsp. crassifolia,NA,1,
9,Angophora crassifolia,Angophora crassifolia,Angophora bakeri subsp. crassifolia,NA,2,
7,Angophora costata subsp. euryphylla,Angophora euryphylla,Angophora costata subsp. euryphylla,NA,1,
10,Angophora euryphylla,Angophora euryphylla,Angophora costata subsp. euryphylla,NA,2,
11,Angophora exul,Angophora exul,Angophora bakeri subsp. bakeri,NA,7,Matched; synonym of A. bakeri subsp. bakeri listed in the APC
12,Angophora floribunda,Angophora floribunda,Angophora floribunda,NA,1,
13,Angophora floribunda x paludosa,Angophora floribunda x paludosa,No match,NA,3,
14,Angophora hispida,Angophora hispida,Angophora hispida,NA,1,
15,Angophora inopina,Angophora inopina,Angophora inopina,NA,1,
8,Angophora costata subsp. leiocarpa,Angophora leiocarpa,Angophora costata subsp. leiocarpa,NA,1,
16,Angophora leiocarpa,Angophora leiocarpa,Angophora costata subsp. leiocarpa,NA,2,
17,Angophora melanoxylon,Angophora melanoxylon,Angophora melanoxylon,NA,1,
4,Angophora bakeri subsp. paludosa,Angophora paludosa,Eucalyptus ovata subsp. ovata,NA,6,Matched; synonym of E. paludosa listed in EUCLID
18,Angophora paludosa,Angophora paludosa,Eucalyptus ovata subsp. ovata,NA,6,Matched; synonym of E. paludosa listed in EUCLID
19,Angophora robur,Angophora robur,Angophora robur,NA,1,
20,Angophora robur x subvelutina,Angophora robur x subvelutina,No match,NA,3,
21,Angophora spp.,Angophora spp.,No match,NA,4,
22,Angophora subvelutina,Angophora subvelutina,Angophora subvelutina,NA,1,
23,Angophora woodsiana,Angophora woodsiana,Angophora woodsiana,NA,1,
24,Corymbia citriodora,Corymbia citriodora,Corymbia citriodora,NA,1,
25,Corymbia citriodora subsp. variegata,Corymbia citriodora,Corymbia citriodora,NA,1,
26,Corymbia dolichocarpa,Corymbia dolichocarpa,Corymbia clarksoniana,NA,5,Matched; synonym of E. dolichocarpa listed on EUCLID
162,Eucalyptus dolichocarpa,Corymbia dolichocarpa,Corymbia clarksoniana,NA,5,Matched; synonym of E. dolichocarpa listed on EUCLID
313,Eucalyptus polycarpa,Corymbia dolichocarpa,Corymbia clarksoniana,NA,7,Matched; synonym of C. clarksoniana listed in the APC
27,Corymbia eximia,Corymbia eximia,Corymbia eximia,NA,1,
172,Eucalyptus eximia,Corymbia eximia,Corymbia eximia,NA,1,
28,Corymbia gummifera,Corymbia gummifera,Corymbia gummifera,NA,1,
200,Eucalyptus gummifera,Corymbia gummifera,Corymbia gummifera,NA,1,
29,Corymbia henryi,Corymbia henryi,Corymbia henryi,NA,1,
204,Eucalyptus henryi,Corymbia henryi,Corymbia henryi,NA,1,
30,Corymbia intermedia,Corymbia intermedia,Corymbia intermedia,NA,1,
209,Eucalyptus intermedia,Corymbia intermedia,Corymbia intermedia,NA,1,
31,Corymbia maculata,Corymbia maculata,Corymbia maculata,NA,1,
232,Eucalyptus maculata,Corymbia maculata,Corymbia maculata,NA,1,
32,Corymbia maculata <--> variegata intergrade,Corymbia maculata <--> variegata intergrade,No match,NA,3,
33,Corymbia spp.,Corymbia spp.,No match,NA,4,
34,Corymbia tessellaris,Corymbia tessellaris,Corymbia tessellaris,NA,1,
402,Eucalyptus tessellaris,Corymbia tessellaris,Corymbia tessellaris,NA,1,
35,Corymbia torelliana,Corymbia torelliana,Corymbia torelliana,NA,1,
405,Eucalyptus torelliana,Corymbia torelliana,Corymbia torelliana,NA,1,
36,Corymbia trachyphloia,Corymbia trachyphloia,Corymbia trachyphloia,NA,1,
37,Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia,NA,7,Matched; synonym of C. trachyphloia listed in the APC
38,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia,NA,7,Matched; synonym of C. trachyphloia listed in the APC
39,Corymbia tumescens,Corymbia tumescens,Corymbia terminalis,NA,5,Matched; synonym of C. tumescens listed on EUCLID
276,Eucalyptus opaca,Corymbia tumescens,Corymbia terminalis,NA,5,Matched; synonym of E. opaca listed on EUCLID
401,Eucalyptus terminalis,Corymbia tumescens,Corymbia terminalis,NA,5,Matched; synonym of E. terminalis listed on EUCLID
40,Corymbia variegata,Corymbia variegata,Corymbia citriodora,NA,7,Matched; synonym of C. citriodora listed in the APC
41,Eucalyptus acaciiformis,Eucalyptus acaciiformis,Eucalyptus acaciiformis,NA,1,
42,Eucalyptus acmenioides,Eucalyptus acmenoides,Eucalyptus acmenoides,NA,1,
43,Eucalyptus acmenoides,Eucalyptus acmenoides,Eucalyptus acmenoides,NA,1,
44,Eucalyptus aenea,Eucalyptus aenea,Eucalyptus viridis,NA,7,Matched; synonym of E. viridis listed in the APC
45,Eucalyptus agglomerata,Eucalyptus agglomerata,Eucalyptus agglomerata,NA,1,
46,Eucalyptus aggregata,Eucalyptus aggregata,Eucalyptus aggregata,NA,1,
47,Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,NA,1,
48,Eucalyptus albens <--> moluccana,Eucalyptus albens <--> moluccana,No match,NA,3,
50,Eucalyptus albens x moluccana,Eucalyptus albens <--> moluccana,No match,NA,3,
49,Eucalyptus albens x crebra,Eucalyptus albens x crebra,No match,NA,3,
51,Eucalyptus amplifolia,Eucalyptus amplifolia,Eucalyptus amplifolia subsp. sessiliflora,NA,7,Matched; synonym of E. amplifolia subsp. sessiliflora listed in the APC; E. amplifolia is the accepted name
52,Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,NA,1,
53,Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,NA,1,
54,Eucalyptus ancophila,Eucalyptus ancophila,Eucalyptus ancophila,NA,1,
55,Eucalyptus andrewsii,Eucalyptus andrewsii,Eucalyptus andrewsii subsp. andrewsii,NA,2,
56,Eucalyptus andrewsii subsp. andrewsii,Eucalyptus andrewsii,Eucalyptus andrewsii subsp. andrewsii,NA,1,
58,Eucalyptus angophoroides,Eucalyptus angophoroides,Eucalyptus angophoroides,NA,1,
59,Eucalyptus apiculata,Eucalyptus apiculata,Eucalyptus apiculata,NA,1,
60,Eucalyptus apothalassica,Eucalyptus apothalassica,Eucalyptus apothalassica,NA,1,
61,Eucalyptus apothalassica x chloroclada,Eucalyptus apothalassica x chloroclada,No match,NA,3,
62,Eucalyptus approximans,Eucalyptus approximans,Eucalyptus approximans subsp. approximans,NA,6,Matched; synonym of E. approximans subsp. approximans listed in the APC
63,Eucalyptus aquatica,Eucalyptus aquatica,Eucalyptus camphora subsp. camphora,NA,7,Matched; synonym of Eucalyptus camphora subsp. camphora listed in the APC; E. aquatica is the accepted name
65,Eucalyptus badjensis,Eucalyptus badjensis,Eucalyptus badjensis,NA,1,
66,Eucalyptus baeuerlenii,Eucalyptus baeuerlenii,Eucalyptus baeuerlenii,NA,1,
67,Eucalyptus baileyana,Eucalyptus baileyana,Eucalyptus baileyana,NA,1,
68,Eucalyptus bakeri,Eucalyptus bakeri,Eucalyptus bakeri,NA,1,
69,Eucalyptus bancroftii,Eucalyptus bancroftii,Eucalyptus bancroftii,NA,1,
70,Eucalyptus banksii,Eucalyptus banksii,Eucalyptus banksii,NA,1,
71,Eucalyptus bauerana,Eucalyptus baueriana,Eucalyptus baueriana,NA,1,
72,Eucalyptus baueriana,Eucalyptus baueriana,Eucalyptus baueriana,NA,1,
73,Eucalyptus baxteri,Eucalyptus baxteri,Eucalyptus baxteri,NA,1,
74,Eucalyptus behriana,Eucalyptus behriana,Eucalyptus behriana,NA,1,
75,Eucalyptus bensonii,Eucalyptus bensonii,Eucalyptus bensonii,NA,1,
76,Eucalyptus benthamii,Eucalyptus benthamii,Eucalyptus benthamii,NA,1,
77,Eucalyptus beyeri,Eucalyptus beyeriana,Eucalyptus beyeri,NA,1,
78,Eucalyptus beyeriana,Eucalyptus beyeriana,Eucalyptus beyeri,NA,2,
79,Eucalyptus beyeriana <--> crebra,Eucalyptus beyeriana <--> crebra,No match,NA,3,
80,Eucalyptus bicostata,Eucalyptus bicostata,Eucalyptus globulus subsp. bicostata,NA,2,
192,Eucalyptus globulus subsp. bicostata,Eucalyptus bicostata,Eucalyptus globulus subsp. bicostata,NA,1,
81,Eucalyptus biturbinata,Eucalyptus biturbinata,NA,NA,,
327,Eucalyptus punctata var. didyma,Eucalyptus biturbinata,NA,NA,,
82,Eucalyptus blakelyi,Eucalyptus blakelyi,Eucalyptus blakelyi,NA,1,
83,Eucalyptus blakelyi <--> dealbata,Eucalyptus blakelyi <--> dealbata,No match,NA,3,
84,Eucalyptus blakelyi <--> tereticornis,Eucalyptus blakelyi <--> tereticornis,No match,NA,3,
85,Eucalyptus blakelyi x chloroclada,Eucalyptus blakelyi x chloroclada,No match,NA,3,
86,Eucalyptus blakelyi x dwyeri,Eucalyptus blakelyi x dwyeri,No match,NA,3,
87,Eucalyptus blakelyi x melliodora,Eucalyptus blakelyi x melliodora,No match,NA,3,
88,Eucalyptus blaxlandii,Eucalyptus blaxlandii,Eucalyptus blaxlandii,NA,1,
89,Eucalyptus boliviana,Eucalyptus boliviana,Eucalyptus boliviana,NA,1,
90,Eucalyptus bosistoana,Eucalyptus bosistoana,Eucalyptus bosistoana,NA,1,
91,Eucalyptus botryoides,Eucalyptus botryoides,Eucalyptus botryoides,NA,1,
92,Eucalyptus botryoides <--> saligna,Eucalyptus botryoides <--> saligna,No match,NA,3,
93,Eucalyptus bridgesiana,Eucalyptus bridgesiana,Eucalyptus bridgesiana,NA,1,
94,Eucalyptus brunnea,Eucalyptus brunnea,NA,NA,,
95,Eucalyptus burgessiana,Eucalyptus burgessiana,Eucalyptus burgessiana,NA,1,
96,Eucalyptus caleyi,Eucalyptus caleyi,NA,NA,,
97,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,NA,1,
98,Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi subsp. ovendenii,NA,1,
99,Eucalyptus caliginosa,Eucalyptus caliginosa,Eucalyptus caliginosa,NA,1,
100,Eucalyptus caliginosa <--> laevopinea,Eucalyptus caliginosa <--> laevopinea,No match,NA,3,
101,Eucalyptus calycogona,Eucalyptus calycogona,Eucalyptus calycogona subsp. trachybasis,NA,6,Matched; synonym of E. calycogona listed in the APC
102,Eucalyptus camaldulensis,Eucalyptus camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,NA,2,
104,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,NA,1,
103,Eucalyptus camaldulensis <--> chloroclada,Eucalyptus camaldulensis <--> chloroclada,No match,NA,3,
105,Eucalyptus cameronii,Eucalyptus cameronii,Eucalyptus cameronii,NA,1,
106,Eucalyptus cameronii x mckiei,Eucalyptus cameronii x mckiei,No match,NA,3,
107,Eucalyptus camfieldii,Eucalyptus camfieldii,Eucalyptus camfieldii,NA,1,
57,Eucalyptus andrewsii subsp. campanulata,Eucalyptus campanulata,Eucalyptus andrewsii subsp. campanulata,NA,1,
108,Eucalyptus campanulata,Eucalyptus campanulata,Eucalyptus andrewsii subsp. campanulata,NA,2,
109,Eucalyptus camphora,Eucalyptus camphora,NA,NA,,
110,Eucalyptus camphora subsp. camphora,Eucalyptus camphora subsp. camphora,Eucalyptus camphora subsp. camphora,NA,1,
111,Eucalyptus camphora subsp. humeana,Eucalyptus camphora subsp. humeana,Eucalyptus camphora subsp. humeana,NA,1,
112,Eucalyptus camphora subsp. relicta,Eucalyptus camphora subsp. relicta,NA,NA,,
113,Eucalyptus canaliculata,Eucalyptus canaliculata,Eucalyptus canaliculata,NA,1,
114,Eucalyptus canaliculata <--> punctata,Eucalyptus canaliculata <--> punctata,No match,NA,3,
115,Eucalyptus cannonii,Eucalyptus cannonii,Eucalyptus macrorhyncha subsp. cannonii,NA,2,
230,Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus cannonii,Eucalyptus macrorhyncha subsp. cannonii,NA,1,
116,Eucalyptus cannonii <--> macrorhyncha,Eucalyptus cannonii <--> macrorhyncha,No match,NA,3,
117,Eucalyptus canobolensis,Eucalyptus canobolensis,Eucalyptus canobolensis,NA,1,
118,Eucalyptus capitellata,Eucalyptus capitellata,Eucalyptus capitellata,NA,1,
119,Eucalyptus carnea,Eucalyptus carnea,Eucalyptus carnea,NA,1,
120,Eucalyptus castrensis,Eucalyptus castrensis,NA,NA,,
121,Eucalyptus chapmaniana,Eucalyptus chapmaniana,Eucalyptus chapmaniana,NA,1,
122,Eucalyptus chloroclada,Eucalyptus chloroclada,Eucalyptus chloroclada,NA,1,
123,Eucalyptus cinerea,Eucalyptus cinerea,NA,NA,,
124,Eucalyptus cladocalyx,Eucalyptus cladocalyx,Eucalyptus cladocalyx,NA,1,
125,Eucalyptus codonocarpa,Eucalyptus codonocarpa,Eucalyptus approximans subsp. codonocarpa,NA,5,Matched; synonym of E. codonocarpa listed on EUCLID
126,Eucalyptus conica,Eucalyptus conica,Eucalyptus conica,NA,1,
127,Eucalyptus conjuncta,Eucalyptus conjuncta,NA,NA,,
128,Eucalyptus consideniana,Eucalyptus consideniana,Eucalyptus consideniana,NA,1,
129,Eucalyptus conspicua,Eucalyptus conspicua,Eucalyptus conspicua subsp. conspicua,NA,6,Matched; based on reassignment in ALA; BioNet_assigned agrees with APC
130,Eucalyptus coolabah,Eucalyptus coolabah,Eucalyptus coolabah,NA,1,
250,Eucalyptus microtheca,Eucalyptus coolabah,Eucalyptus coolabah,NA,1,
131,Eucalyptus coolabah subsp. arida,Eucalyptus coolabah subsp. arida,NA,NA,,
132,Eucalyptus coolabah subsp. coolabah,Eucalyptus coolabah subsp. coolabah,NA,NA,,
64,Eucalyptus aromaphloia,Eucalyptus corticosa,Eucalyptus corticosa,NA,1,
133,Eucalyptus corticosa,Eucalyptus corticosa,Eucalyptus corticosa,NA,1,
134,Eucalyptus costata,Eucalyptus costata subsp. murrayana,Eucalyptus incrassata,NA,2,
135,Eucalyptus costata subsp. murrayana,Eucalyptus costata subsp. murrayana,Eucalyptus incrassata,NA,2,
208,Eucalyptus incrassata,Eucalyptus costata subsp. murrayana,Eucalyptus incrassata,NA,1,
136,Eucalyptus crebra,Eucalyptus crebra,Eucalyptus crebra,NA,1,
137,Eucalyptus crebra x fibrosa,Eucalyptus crebra x fibrosa,No match,NA,3,
138,Eucalyptus crebra x microcarpa,Eucalyptus crebra x microcarpa,No match,NA,3,
139,Eucalyptus crebra x nubila,Eucalyptus crebra x nubila,No match,NA,3,
140,Eucalyptus crebra x siderophloia,Eucalyptus crebra x siderophloia,No match,NA,3,
141,Eucalyptus crenulata,Eucalyptus crenulata,Eucalyptus crenulata,NA,1,
142,Eucalyptus croajingolensis,Eucalyptus croajingolensis,Eucalyptus croajingolensis,NA,1,
143,Eucalyptus cunninghamii,Eucalyptus cunninghamii,Eucalyptus cunninghamii,NA,1,
359,Eucalyptus rupicola,Eucalyptus cunninghamii,Eucalyptus cunninghamii,NA,1,
144,Eucalyptus cyanophylla,Eucalyptus cyanophylla,Eucalyptus cyanophylla,NA,1,
145,Eucalyptus cypellocarpa,Eucalyptus cypellocarpa,Eucalyptus cypellocarpa,NA,1,
146,Eucalyptus dalrympleana,Eucalyptus dalrympleana,NA,NA,,
147,Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,NA,1,
148,Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,NA,1,
149,Eucalyptus dalrympleana x viminalis,Eucalyptus dalrympleana x viminalis,No match,NA,3,
150,Eucalyptus dawsonii,Eucalyptus dawsonii,Eucalyptus dawsonii,NA,1,
151,Eucalyptus dealbata,Eucalyptus dealbata,Eucalyptus dealbata,NA,1,
152,Eucalyptus dealbata x dwyeri,Eucalyptus dealbata x dwyeri,No match,NA,3,
153,Eucalyptus deanei,Eucalyptus deanei,Eucalyptus deanei,NA,1,
154,Eucalyptus debeuzevillei,Eucalyptus debeuzevillei,Eucalyptus pauciflora subsp. debeuzevillei,NA,2,
295,Eucalyptus pauciflora subsp. debeuzevillei,Eucalyptus debeuzevillei,Eucalyptus pauciflora subsp. debeuzevillei,NA,1,
155,Eucalyptus delegatensis,Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis subsp. delegatensis,NA,1,
156,Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis subsp. delegatensis,NA,1,
157,Eucalyptus dendromorpha,Eucalyptus dendromorpha,Eucalyptus dendromorpha,NA,1,
158,Eucalyptus dissita,Eucalyptus dissita,Eucalyptus moorei subsp. moorei,NA,6,Matched; synonym of E. dissita listed in EUCLID; E. moorei subsp. moorei is the accepted name in the APC
159,Eucalyptus dives,Eucalyptus dives,Eucalyptus dives,NA,1,
160,Eucalyptus dives x pauciflora,Eucalyptus dives x pauciflora,No match,NA,3,
161,Eucalyptus dives x rossii,Eucalyptus dives x rossii,No match,NA,3,
163,Eucalyptus dorrigoensis,Eucalyptus dorrigoensis,Eucalyptus dorrigoensis,NA,1,
164,Eucalyptus dumosa,Eucalyptus dumosa,Eucalyptus dumosa,NA,1,
165,Eucalyptus dunnii,Eucalyptus dunnii,Eucalyptus dunnii,NA,1,
166,Eucalyptus dwyeri,Eucalyptus dwyeri,Eucalyptus dwyeri,NA,1,
167,Eucalyptus elata,Eucalyptus elata,Eucalyptus elata,NA,1,
168,Eucalyptus elegans,Eucalyptus elegans,NA,NA,,
169,Eucalyptus elliptica,Eucalyptus elliptica,Eucalyptus elliptica,NA,1,
170,Eucalyptus eugenioides,Eucalyptus eugenioides,Eucalyptus eugenioides,NA,1,
258,Eucalyptus nigra,Eucalyptus eugenioides,Eucalyptus eugenioides,NA,1,
171,Eucalyptus eugenioides x globoidea,Eucalyptus eugenioides x globoidea,No match,NA,3,
173,Eucalyptus expressa,Eucalyptus expressa,Eucalyptus expressa,NA,1,
174,Eucalyptus exserta,Eucalyptus exserta,Eucalyptus exserta,NA,1,
175,Eucalyptus fastigata,Eucalyptus fastigata,Eucalyptus fastigata,NA,1,
176,Eucalyptus fergusonii,Eucalyptus fergusonii,NA,NA,,
177,Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus sp. Dorsiventralis,NA,6,Matched; synonym of E. fergusonii subsp. dorsiventralis list in EUCLID
178,Eucalyptus fergusonii subsp. fergusonii,Eucalyptus fergusonii subsp. fergusonii,NA,NA,,
179,Eucalyptus fibrosa,Eucalyptus fibrosa,Eucalyptus fibrosa subsp. fibrosa,NA,2,
180,Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa,Eucalyptus fibrosa subsp. fibrosa,NA,1,
182,Eucalyptus fibrosa x punctata,Eucalyptus fibrosa x punctata,No match,NA,3,
184,Eucalyptus fracta,Eucalyptus fracta,NA,NA,,
185,Eucalyptus fraxinoides,Eucalyptus fraxinoides,Eucalyptus fraxinoides,NA,1,
186,Eucalyptus fusiformis,Eucalyptus fusiformis,Eucalyptus fusiformis,NA,1,
187,Eucalyptus gillii,Eucalyptus gillii,Eucalyptus gillii,NA,1,
188,Eucalyptus glaucescens,Eucalyptus glaucescens,Eucalyptus glaucescens,NA,1,
189,Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus glaucina,NA,1,
190,Eucalyptus globoidea,Eucalyptus globoidea,Eucalyptus globoidea,NA,1,
191,Eucalyptus globulus,Eucalyptus globulus,NA,NA,,
194,Eucalyptus goniocalyx,Eucalyptus goniocalyx,NA,NA,,
195,Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx,NA,1,
196,Eucalyptus gracilis,Eucalyptus gracilis,Eucalyptus gracilis,NA,1,
197,Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis,NA,1,
198,Eucalyptus grandis x saligna,Eucalyptus grandis x saligna,No match,NA,3,
199,Eucalyptus gregsoniana,Eucalyptus gregsoniana,Eucalyptus gregsoniana,NA,1,
201,Eucalyptus gunnii,Eucalyptus gunnii,Eucalyptus gunnii,NA,1,
202,Eucalyptus haemastoma,Eucalyptus haemastoma,Eucalyptus haemastoma,NA,1,
203,Eucalyptus haemastoma x racemosa,Eucalyptus haemastoma x racemosa,No match,NA,3,
205,Eucalyptus hypostomatica,Eucalyptus hypostomatica,Eucalyptus hypostomatica,NA,1,
206,Eucalyptus ignorabilis,Eucalyptus ignorabilis,Eucalyptus ignorabilis,NA,1,
207,Eucalyptus imitans,Eucalyptus imitans,Eucalyptus imitans,NA,1,
210,Eucalyptus interstans,Eucalyptus interstans,Eucalyptus interstans,NA,1,
211,Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus intertexta,NA,1,
212,Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,NA,1,
213,Eucalyptus kybeanensis,Eucalyptus kybeanensis,Eucalyptus kybeanensis,NA,1,
214,Eucalyptus lacrimans,Eucalyptus lacrimans,Eucalyptus lacrimans,NA,1,
215,Eucalyptus laevopinea,Eucalyptus laevopinea,Eucalyptus laevopinea,NA,1,
216,Eucalyptus langleyi,Eucalyptus langleyi,Eucalyptus langleyi,NA,1,
217,Eucalyptus laophila,Eucalyptus laophila,NA,NA,,
218,Eucalyptus largeana,Eucalyptus largeana,Eucalyptus largeana,NA,1,
219,Eucalyptus largiflorens,Eucalyptus largiflorens,Eucalyptus largiflorens,NA,1,
220,Eucalyptus latiuscula,Eucalyptus latiuscula,Eucalyptus moorei subsp. moorei,NA,6,Matched; synonym of E. latiuscula listed in EUCLID; E. moorei subsp. moorei is the accepted name in the APC
183,Eucalyptus foecunda,Eucalyptus leptophylla,Eucalyptus leptophylla,NA,1,
221,Eucalyptus leptophylla,Eucalyptus leptophylla,Eucalyptus leptophylla,NA,1,
222,Eucalyptus leucoxylon,Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa,NA,1,
223,Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa,NA,1,
224,Eucalyptus ligustrina,Eucalyptus ligustrina,Eucalyptus ligustrina,NA,1,
225,Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus longifolia,NA,1,
226,Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus luehmanniana,NA,1,
227,Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus macarthurii,NA,1,
228,Eucalyptus mackintii,Eucalyptus mackintii,Eucalyptus mackintii,NA,1,
229,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha subsp. macrorhyncha,NA,2,
231,Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha subsp. macrorhyncha,NA,1,
233,Eucalyptus magnificata,Eucalyptus magnificata,Eucalyptus magnificata,NA,1,
193,Eucalyptus globulus subsp. maidenii,Eucalyptus maidenii,Eucalyptus globulus subsp. maidenii,NA,1,
234,Eucalyptus maidenii,Eucalyptus maidenii,Eucalyptus globulus subsp. maidenii,NA,2,
235,Eucalyptus major,Eucalyptus major,Eucalyptus major,NA,1,
236,Eucalyptus malacoxylon,Eucalyptus malacoxylon,Eucalyptus malacoxylon,NA,1,
237,Eucalyptus mannifera,Eucalyptus mannifera,NA,NA,,
238,Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera subsp. gullickii,NA,1,
239,Eucalyptus mannifera subsp. maculosa,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera,NA,1,
240,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera,NA,1,
242,Eucalyptus mckieana,Eucalyptus mckieana,Eucalyptus mckieana,NA,1,
243,Eucalyptus melanophloia,Eucalyptus melanophloia,Eucalyptus melanophloia subsp. melanophloia,NA,6,Matched; synonym of E. melanophloia listed in the APC; E. melanophloia is the accepted nomenclature
244,Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus melliodora,NA,1,
245,Eucalyptus michaeliana,Eucalyptus michaeliana,Eucalyptus michaeliana,NA,1,
246,Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa,NA,1,
247,Eucalyptus microcarpa <--> viridis,Eucalyptus microcarpa <--> viridis,No match,NA,3,
248,Eucalyptus microcarpa x pilligaensis,Eucalyptus microcarpa x pilligaensis,No match,NA,3,
249,Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,NA,1,
251,Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus moluccana,NA,1,
252,Eucalyptus moorei,Eucalyptus moorei,NA,NA,,
253,Eucalyptus morrisii,Eucalyptus morrisii,Eucalyptus morrisii,NA,1,
254,Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana,NA,1,
255,Eucalyptus multicaulis,Eucalyptus multicaulis,Eucalyptus multicaulis,NA,1,
256,Eucalyptus nandewarica,Eucalyptus nandewarica,Eucalyptus nandewarica,NA,1,
257,Eucalyptus nicholii,Eucalyptus nicholii,Eucalyptus nicholii,NA,1,
259,Eucalyptus niphophila,Eucalyptus niphophila,Eucalyptus pauciflora subsp. niphophila,NA,2,
296,Eucalyptus pauciflora subsp. niphophila,Eucalyptus niphophila,Eucalyptus pauciflora subsp. niphophila,NA,1,
260,Eucalyptus nitens,Eucalyptus nitens,Eucalyptus nitens,NA,1,
261,Eucalyptus nobilis,Eucalyptus nobilis,Eucalyptus nobilis,NA,1,
262,Eucalyptus nobilis <--> viminalis,Eucalyptus nobilis <--> viminalis,No match,NA,3,
263,Eucalyptus nortonii,Eucalyptus nortonii,Eucalyptus nortonii,NA,1,
264,Eucalyptus notabilis,Eucalyptus notabilis,Eucalyptus notabilis,NA,1,
265,Eucalyptus nova-anglica,Eucalyptus nova-anglica,Eucalyptus nova-anglica,NA,1,
181,Eucalyptus fibrosa subsp. nubila,Eucalyptus nubila,Eucalyptus fibrosa subsp. nubila,NA,1,
266,Eucalyptus nubila,Eucalyptus nubila,Eucalyptus fibrosa subsp. nubila,NA,2,
267,Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus obliqua,NA,1,
268,Eucalyptus oblonga,Eucalyptus oblonga,NA,NA,,
269,Eucalyptus obstans,Eucalyptus obstans,Eucalyptus obtusiflora,NA,2,
270,Eucalyptus obtusiflora,Eucalyptus obstans,Eucalyptus obtusiflora,NA,1,
271,Eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,NA,1,
272,Eucalyptus oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,NA,1,
273,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,NA,1,
