Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Eucalyptus agglomerata,APC,Eucalyptus agglomerata Maiden,legitimate,scientific,[],Eucalyptus agglomerata,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,agglomerata,,agglomerata,,,,
TRUE,Eucalyptus aggregata,APC,Eucalyptus aggregata H.Deane & Maiden,legitimate,scientific,[],Eucalyptus aggregata,H.Deane & Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,aggregata,,aggregata,,,,
TRUE,Eucalyptus albens,APC,Eucalyptus albens Benth.,legitimate,scientific,[],Eucalyptus albens,Benth.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,albens,,albens,,,,
FALSE,Eucalyptus albens <--> moluccana,,not found,,,,,,,,,,,,,,,,,,,,
FALSE,Eucalyptus albens x crebra,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus amplifolia,APC,Eucalyptus amplifolia Naudin,legitimate,scientific,[],Eucalyptus amplifolia,Naudin,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,amplifolia,,amplifolia,,,,
TRUE,Eucalyptus amplifolia subsp. amplifolia,APC,Eucalyptus amplifolia Naudin subsp. amplifolia,legitimate,autonym,[],Eucalyptus amplifolia subsp. amplifolia,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,amplifolia,amplifolia,amplifolia,,,,
TRUE,Eucalyptus amplifolia subsp. sessiliflora,APC,Eucalyptus amplifolia subsp. sessiliflora (Blakely) L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus amplifolia subsp. sessiliflora,(Blakely) L.A.S.Johnson & K.D.Hill,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,amplifolia,sessiliflora,sessiliflora,,,,
TRUE,Eucalyptus ancophila,APC,Eucalyptus ancophila L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus ancophila,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,ancophila,,ancophila,,,,
TRUE,Eucalyptus andrewsii,APC,Eucalyptus andrewsii Maiden,legitimate,scientific,[],Eucalyptus andrewsii,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,andrewsii,,andrewsii,,,,
TRUE,Eucalyptus angophoroides,APC,Eucalyptus angophoroides R.T.Baker,legitimate,scientific,[],Eucalyptus angophoroides,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,angophoroides,,angophoroides,,,,
TRUE,Eucalyptus apiculata,APC,Eucalyptus apiculata R.T.Baker & H.G.Sm.,legitimate,scientific,[],Eucalyptus apiculata,R.T.Baker & H.G.Sm.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,apiculata,,apiculata,,,,
TRUE,Eucalyptus apothalassica,APC,Eucalyptus apothalassica L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus apothalassica,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,apothalassica,,apothalassica,,,,
FALSE,Eucalyptus apothalassica x chloroclada,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus approximans,APC,Eucalyptus approximans Maiden,legitimate,scientific,[],Eucalyptus approximans,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,approximans,,approximans,,,,
