species,whole bark description
Eucalyptus acroleuca,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus adesmophloia,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus aequioperta,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus agglomerata,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus aggregata,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus alba var. australasica,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus albens,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus albida,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus albopurpurea,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus alipes,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus alligatrix subsp. alligatrix,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus alligatrix subsp. limaensis,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus alligatrix subsp. miscella,"branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus ammophila,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus amplifolia subsp. amplifolia,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus amplifolia subsp. sessiliflora,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus amygdalina,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus ancophila,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus andrewsii subsp. andrewsii,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus andrewsii subsp. campanulata,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus angophoroides,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus angularis,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus angulosa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus angustissima,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus annettae,"branches smooth, ribbons in branches, partly rough, rough bark box type, partly or all smooth"
Eucalyptus annulata,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus annuliformis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus apiculata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus apodophylla,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus apothalassica,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus approximans subsp. approximans,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus approximans subsp. codonocarpa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus aquilina,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus arachnaea subsp. arachnaea,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus arachnaea subsp. arrecta,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus arborella,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus archeri,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus arenacea,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus arenicola,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, partly or all smooth"
Eucalyptus argillacea,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus argophloia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus argutifolia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus aridimontana,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus armillata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus aromaphloia subsp. aromaphloia,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark ironbark"
Eucalyptus aromaphloia subsp. sabulosa,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough"
Eucalyptus articulata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus aspersa,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus aspratilis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus astringens subsp. astringens,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus astringens subsp. redacta,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus atrata,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus aurifodina,"branches rough, fibrous, wholly rough"
Eucalyptus badjensis,"branches smooth, ribbons in branches, partly rough, rough bark compacted, partly or all smooth"
Eucalyptus baeuerlenii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus baileyana,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus baiophylla,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus bakeri,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark compacted, rough bark tessellated, partly or all smooth"
Eucalyptus balladoniensis subsp. balladoniensis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus balladoniensis subsp. sedens,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus bancroftii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus banksii,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus barberi,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus baudiniana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus baueriana,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus baxteri,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus beaniana,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus beardiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus behriana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus bensonii,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus benthamii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus beyeri,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus bigalerita,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus blakelyi,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus blaxellii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus blaxlandii,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus boliviana,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus bosistoana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus botryoides,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus brachyandra,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus brachycalyx,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus brachyphylla,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark imperfectly shed, partly or all smooth"
Eucalyptus brandiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus brassiana,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark compacted, rough bark ironbark, rough bark tessellated, partly or all smooth"
Eucalyptus brevifolia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus brevipes,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus brevistylis,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus bridgesiana,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus brockwayi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus brookeriana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus broviniensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus brownii,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus buprestium,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus burdettiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus burgessiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus burracoppinensis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark imperfectly shed, partly or all smooth"
Eucalyptus cadens,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus caesia subsp. caesia,"branches minnirichi, no ribbons in branches, main minnirichi, partly or all smooth"
Eucalyptus caesia subsp. magna,"branches minnirichi, no ribbons in branches, main minnirichi, partly or all smooth"
Eucalyptus calcareana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus calcicola subsp. calcicola,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus calcicola subsp. unita,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus caleyi subsp. caleyi,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus caleyi subsp. ovendenii,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus caliginosa,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus calycogona subsp. calycogona,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus calycogona subsp. miraculum,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus calycogona subsp. spaffordii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus calycogona subsp. trachybasis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus calyerup,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus camaldulensis subsp. acuta,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus camaldulensis subsp. arida,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus camaldulensis subsp. camaldulensis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus camaldulensis subsp. minima,"branches smooth, no ribbons in branches, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus camaldulensis subsp. obtusa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus camaldulensis subsp. refulgens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus camaldulensis subsp. simulata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cambageana,"branches smooth, no ribbons in branches, partly rough, rough bark box type, rough bark compacted, rough bark tessellated, partly or all smooth"
Eucalyptus cameronii,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus camfieldii,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus campaspe,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus camphora subsp. camphora,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus camphora subsp. humeana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth"
Eucalyptus canaliculata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus canescens subsp. beadellii,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus canescens subsp. canescens,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus canobolensis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus capillosa subsp. capillosa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus capillosa subsp. polyclada,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus capitellata,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus captiosa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus carnabyi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus carnea,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus carnei,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus celastroides subsp. celastroides,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus celastroides subsp. virella,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus cephalocarpa,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus ceracea,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus cerasiformis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus ceratocorys,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
