species,whole bark description
Eucalyptus kumarlensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus kybeanensis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus lacrimans,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus laeliae,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus laevis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus laevopinea,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus lane-poolei,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus langleyi,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus lansdowneana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, partly or all smooth"
Eucalyptus largeana,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus largiflorens,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus latens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus lateritica,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus latisinensis,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus lehmanii subsp. parallela,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus lehmannii subsp. lehmannii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus leprophloia,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus leptocalyx,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus leptophleba,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus leptophylla,"branches smooth, no ribbons in branches, partly rough, wholly smooth, partly or all smooth"
Eucalyptus leptopoda subsp. arctata,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus leptopoda subsp. elevata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus leptopoda subsp. leptopoda,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus leptopoda subsp. subluta,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus lesouefii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark box type, partly or all smooth"
Eucalyptus leucophloia subsp. euroa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus leucophloia subsp. leucophloia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus leucophylla,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus leucoxylon subsp. leucoxylon,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus leucoxylon subsp. megalocarpa,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus leucoxylon subsp. pruinosa,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus leucoxylon subsp. stephaniae,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus ligulata subsp. ligulata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus ligulata subsp. stirlingica,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus ligustrina,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus limitaris,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus lirata,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus litoralis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus litorea,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus livida,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus lockyeri subsp. exuta,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus lockyeri subsp. lockyeri,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus longicornis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark compacted, partly or all smooth"
Eucalyptus longifolia,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus longirostrata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus longissima,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus loxophleba subsp. gratiae,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus loxophleba subsp. lissophloia,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus loxophleba subsp. loxophleba,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus loxophleba subsp. supralaevis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus lucasii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus lucens,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus luculenta,"branches smooth, no ribbons in branches, wholly smooth"
Eucalyptus luehmanniana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus luteola,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus macarthurii,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough"
Eucalyptus mackintii,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus macrandra,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus macrocarpa subsp. elachantha,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus macrocarpa subsp. macrocarpa,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus macrorhyncha subsp. cannonii,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus macrorhyncha subsp. macrorhyncha,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus magnificata,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus major,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus malacoxylon,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus mannensis subsp. mannensis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus mannensis subsp. vespertina,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus mannifera subsp. gullickii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus mannifera subsp. mannifera,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus mannifera subsp. praecox,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus marginata subsp. elegantella,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus marginata subsp. marginata,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus marginata subsp. thalassica,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus mckieana,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus mcquoidii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus medialis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus mediocris,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus megacarpa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus megacornuta,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus megasepala,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus melanoleuca,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus melanophitra,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus melanophloia subsp. melanophloia,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus melanophloia subsp. nana,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus melanoxylon,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus melliodora,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus merrickiae,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus michaeliana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus micranthera,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus microcarpa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus microcorys,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus microneura,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus microschema,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus microtheca,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus mimica subsp. continens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus mimica subsp. mimica,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus miniata,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus misella,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus mitchelliana,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus moderata,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus moluccana,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus mooreana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus moorei subsp. moorei,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus moorei subsp. serpentinicola,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus morrisbyi,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus morrisii,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus muelleriana,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus multicaulis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus myriadena,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus nandewarica,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus nebulosa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus neglecta,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus neutra,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus newbeyi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus nicholii,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus nigrifunda,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus nitens,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus nitida,"branches smooth, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, partly or all smooth"
Eucalyptus nobilis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus normantonensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus nortonii,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus notabilis,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus notactites,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus nova-anglica,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus nudicaulis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus nutans,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus obconica,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus obesa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus obliqua,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus obtusiflora,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus occidentalis,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark compacted, rough bark ironbark, partly or all smooth"
Eucalyptus ochrophloia,"branches smooth, no ribbons in branches, partly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus odontocarpa,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus odorata,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus oldfieldii,"branches rough, branches smooth, ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus oleosa subsp. corvina,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus oleosa subsp. cylindroidea,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus oleosa subsp. oleosa,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus olida,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus oligantha,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus olivina,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus olsenii,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, partly or all smooth"
Eucalyptus ophitica,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus opimiflora,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus optima,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus oraria,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus orbifolia,"branches minnirichi, no ribbons in branches, fibrous, main minnirichi, partly rough, rough bark loose basal slabs, partly or all smooth"
Eucalyptus ordiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus oreades,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus orgadophila,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus ornata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus orthostemon,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus ovata var. grandiflora,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus ovata var. ovata,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus ovularis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus oxymitra,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus pachycalyx subsp. pachycalyx,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pachycalyx subsp. waajensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pachyloma,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pachyphylla,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus paedoglauca,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus paliformis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus paludicola,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus panda,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus paniculata,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus pantoleuca,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus parramattensis subsp. decadens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus parramattensis subsp. parramattensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus parramattensis var. sphaerocalyx,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus parvula,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus patellaris,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus patens,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus pauciflora subsp. acerina,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pauciflora subsp. debeuzevillei,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pauciflora subsp. hedraia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pauciflora subsp. niphophila,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pauciflora subsp. pauciflora,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pellita,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Eucalyptus pendens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus peninsularis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, partly or all smooth"
Eucalyptus perangusta,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus percostata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus perriniana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus persistens subsp. persistens,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus persistens subsp. tardecidens,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus petiolaris,"branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus petraea,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus petrensis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus phaenophylla subsp. interjacens,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus phaenophylla subsp. phaenophylla,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus phenax subsp. compressa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus phenax subsp. phenax,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus phoenicea,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus pilbarensis,"branches smooth, no ribbons in branches, wholly smooth"
Eucalyptus pileata,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pilularis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus pimpiniana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus piperita subsp. piperita,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus piperita subsp. urceolaris,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus placita,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus planchoniana,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus platycorys,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus platydisca,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus platyphylla,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus platypus subsp. congregata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus platypus subsp. platypus,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pleurocarpa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pluricaulis subsp. pluricaulis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pluricaulis subsp. porphyrea,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus polita,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus polyanthemos subsp. longior,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus polyanthemos subsp. polyanthemos,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus polyanthemos subsp. vestita,"branches rough, no ribbons in branches, wholly rough, rough bark loose basal slabs, rough bark box type"
Eucalyptus polybractea,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus populnea,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus porosa,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus praetermissa,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus prava,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus preissiana subsp. lobata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus preissiana subsp. preissiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus prolixa,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus prominens,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus prominula,"branches rough, fibrous, wholly rough"
Eucalyptus propinqua,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus protensa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus provecta,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus proxima,"no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pruiniramis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus pruinosa subsp. pruinosa,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus pruinosa subsp. tenuata,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus psammitica,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus pterocarpa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pulchella,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus pulverulenta,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pumila,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus punctata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus purpurata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus pyriformis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus pyrocarpa,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough"
Eucalyptus quadrangulata,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Eucalyptus quadrans,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus quadricostata,"branches rough, ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus quaerenda,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus racemosa subsp. racemosa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus racemosa subsp. rossii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
