species,rough bark box type
Eucalyptus sessilis,yes
Eucalyptus similis,yes
Eucalyptus socialis subsp. socialis,yes
Eucalyptus socialis subsp. victoriensis,yes
Eucalyptus socialis subsp. viridans,yes
Eucalyptus sp. Cockburn,yes
Eucalyptus sparsa,yes
Eucalyptus splendens subsp. arcana,yes
Eucalyptus splendens subsp. splendens,yes
Eucalyptus striaticalyx,yes
Eucalyptus stricklandii,yes
Eucalyptus suberea,yes
Eucalyptus surgens,yes
Eucalyptus tectifica,yes
Eucalyptus tephrodes,yes
Eucalyptus terrica,yes
Eucalyptus thamnoides subsp. megista,yes
Eucalyptus todtiana,yes
Eucalyptus torquata,yes
Eucalyptus varia subsp. salsuginosa,yes
Eucalyptus victoriana,yes
Eucalyptus viminalis subsp. cygnetensis,yes
Eucalyptus viridis,yes
Eucalyptus volcanica,yes
Eucalyptus woollsiana,yes
Eucalyptus x balanites,yes
Eucalyptus x phylacis,yes
Eucalyptus xerothermica,yes
Eucalyptus yalatensis,yes
Eucalyptus yarraensis,yes
Eucalyptus yilgarnensis,yes
Eucalyptus zopherophloia,yes
