species,branches rough
Eucalyptus virens,yes
Eucalyptus volcanica,yes
Eucalyptus whitei,yes
Eucalyptus williamsiana,yes
Eucalyptus willisii subsp. falciformis,yes
Eucalyptus willisii subsp. willisii,yes
Eucalyptus wyolensis,yes
Eucalyptus x balanites,yes
Eucalyptus x phylacis,yes
Eucalyptus xerothermica,yes
Eucalyptus yalatensis,yes
Eucalyptus yarraensis,yes
Eucalyptus youmanii,yes
Eucalyptus youngiana,yes
Eucalyptus zopherophloia,yes
